,word,sentence,title,url,identifier
0,digiti," This case does not challenge many of the services we provide with digitized books including interlibrary loan, citation linking, access for the print-disabled, text and data mining, purchasing ebooks, and ongoing donation and preservation of books",The Fight Continues,https://blog.archive.org/2023/03/,2
1,digiti, Thousands of donors provided the funds to digitize them,"Press conference statement: Brewster Kahle, Internet Archive",https://blog.archive.org/2023/03/,5
2,digiti,"    The publishers are now demanding that those millions of digitized books, not only be made inaccessible, but be destroyed","Press conference statement: Brewster Kahle, Internet Archive",https://blog.archive.org/2023/03/,5
3,digiti,   Let me say it again– the publishers are demanding that millions of digitized books be destroyed,"Press conference statement: Brewster Kahle, Internet Archive",https://blog.archive.org/2023/03/,5
4,digiti," And if they succeed in destroying our books or even making many of them inaccessible, there will be a chilling effect on the hundreds of other libraries that lend digitized books as we do","Press conference statement: Brewster Kahle, Internet Archive",https://blog.archive.org/2023/03/,5
5,digiti," With Controlled Digital Lending, libraries like the Internet Archive can lend one copy of digitized material from their collection to one borrower for a limited time, just like they would a physical book","Press conference statement: Catherine Stihler, Creative Commons",https://blog.archive.org/2023/03/,9
6,digiti," While publishers argue that CDL decreases their profits, studies show that in fact library digitization increases sales of physical editions by about 34% and increases the likelihood of any sale by 92%, particularly for less popular or out-of-print works","Press conference statement: Catherine Stihler, Creative Commons",https://blog.archive.org/2023/03/,9
7,digiti,"” With respect to our own book collections, this is straightforward: the books are lawfully acquired, digitized at our own expense, and lent to one reader at a time—without any cost to them—for personal, research, or scholarly use",Celebrating Library Fair Use,https://blog.archive.org/2023/02/,12
8,scan," The collection has blossomed to well over 51,000 items related to ham radio, shortwave listening, scanners, and related communications","Archive for Amateur Radio Grows to 51,000 Items",https://blog.archive.org/2023/01/,22
9,digiti," Now that they’re in the public domain, anyone can preserve them and digitize them — making them more discoverable",Public Domain Day Festivities Draw Global Audience of Enthusiasts,https://blog.archive.org/2023/01/,24
10,digiti," Now, the country is beginning to consider the ramifications of the new terms, including disruptions to digitization projects and the increased cost of materials that will remain under copyright for educational institutions","As the US Public Domain Expands, 20-Year Pause for the Canadian Public Domain Begins",https://blog.archive.org/2023/01/,25
11,digiti," BWB customers were able to donate $1 at checkout to acquire books cited in the Ukrainian-language Wikipedia for the Internet Archive to preserve, digitize, and link to citations in Wikipedia",2022 Empowering Libraries Year in Review,https://blog.archive.org/2022/12/,27
12,digiti,  One message really resonated online—people were surprised to learn that the Internet Archive has a physical archive that preserves all the physical books we’ve acquired and digitized,2022 Empowering Libraries Year in Review,https://blog.archive.org/2022/12/,27
13,digiti,"5 million microfiche cards for preservation and digitization, covering topics including Census data, documents from the Department of Education, Congressional testimony, CIA documents, and foreign news translated into English",2022 Empowering Libraries Year in Review,https://blog.archive.org/2022/12/,27
14,digiti,"Facing an uncertain future, Hong Kong bookstore owner Albert Wan closed his pro-democracy, independent bookstore and donated the books to the Internet Archive for preservation and digitization",2022 Empowering Libraries Year in Review,https://blog.archive.org/2022/12/,27
15,digiti,  The Internet Archive has ramped up collecting government websites and datasets as well as digitizing print materials with many library partners,What is the Democracy’s Library?,https://blog.archive.org/2022/11/,36
16,scan, Radio and communications books donated to Internet Archive are scanned and added to the DLARC lending library,"Digital Library of Amateur Radio & Communications Surpasses 25,000 Items",https://blog.archive.org/2022/11/,41
17,digiti," For those of us tending libraries of digitized and born-digital books, we know that they need constant maintenance—reprocessing, reformatting, re-invigorating or they will not be readable or read",Digital Books wear out faster than Physical Books,https://blog.archive.org/2022/11/,42
18,digiti," The Internet Archive processes and reprocesses the books it has digitized as new optical character recognition technologies come around, as new text understanding technologies open new analysis, as formats change from djvu to daisy to epub1 to epub2 to epub3 to pdf-a and on and on",Digital Books wear out faster than Physical Books,https://blog.archive.org/2022/11/,42
