,name,scan_day,operator,identifier,books_per_worker
0,Allen County Public Library Geneaology Center,2002-01-09,2,2,1.0
1,Allen County Public Library Geneaology Center,2002-01-10,1,1,1.0
2,Allen County Public Library Geneaology Center,2002-01-15,1,1,1.0
3,Allen County Public Library Geneaology Center,2008-05-15,1,2,2.0
4,Allen County Public Library Geneaology Center,2008-05-16,2,2,1.0
5,Allen County Public Library Geneaology Center,2008-05-19,2,4,2.0
6,Allen County Public Library Geneaology Center,2008-05-20,6,11,1.8333333333333333
7,Allen County Public Library Geneaology Center,2008-05-21,3,5,1.6666666666666667
8,Allen County Public Library Geneaology Center,2008-05-22,5,8,1.6
9,Allen County Public Library Geneaology Center,2008-05-23,6,9,1.5
10,Allen County Public Library Geneaology Center,2008-05-27,7,14,2.0
11,Allen County Public Library Geneaology Center,2008-05-28,4,5,1.25
12,Allen County Public Library Geneaology Center,2008-05-29,8,12,1.5
13,Allen County Public Library Geneaology Center,2008-05-30,4,6,1.5
14,Allen County Public Library Geneaology Center,2008-06-02,8,17,2.125
15,Allen County Public Library Geneaology Center,2008-06-03,10,16,1.6
16,Allen County Public Library Geneaology Center,2008-06-04,10,26,2.6
17,Allen County Public Library Geneaology Center,2008-06-05,10,31,3.1
18,Allen County Public Library Geneaology Center,2008-06-06,10,19,1.9
19,Allen County Public Library Geneaology Center,2008-06-09,8,22,2.75
20,Allen County Public Library Geneaology Center,2008-06-10,9,25,2.7777777777777777
21,Allen County Public Library Geneaology Center,2008-06-11,8,21,2.625
22,Allen County Public Library Geneaology Center,2008-06-12,9,29,3.2222222222222223
23,Allen County Public Library Geneaology Center,2008-06-13,9,32,3.5555555555555554
24,Allen County Public Library Geneaology Center,2008-06-16,10,32,3.2
25,Allen County Public Library Geneaology Center,2008-06-17,10,30,3.0
26,Allen County Public Library Geneaology Center,2008-06-18,11,36,3.272727272727273
27,Allen County Public Library Geneaology Center,2008-06-19,11,33,3.0
28,Allen County Public Library Geneaology Center,2008-06-20,10,43,4.3
29,Allen County Public Library Geneaology Center,2008-06-23,8,21,2.625
30,Allen County Public Library Geneaology Center,2008-06-24,12,35,2.9166666666666665
31,Allen County Public Library Geneaology Center,2008-06-25,11,33,3.0
32,Allen County Public Library Geneaology Center,2008-06-26,10,32,3.2
33,Allen County Public Library Geneaology Center,2008-06-27,8,27,3.375
34,Allen County Public Library Geneaology Center,2008-06-30,10,23,2.3
35,Allen County Public Library Geneaology Center,2008-07-01,11,27,2.4545454545454546
36,Allen County Public Library Geneaology Center,2008-07-02,9,25,2.7777777777777777
37,Allen County Public Library Geneaology Center,2008-07-03,10,20,2.0
38,Allen County Public Library Geneaology Center,2008-07-07,10,27,2.7
39,Allen County Public Library Geneaology Center,2008-07-08,9,34,3.7777777777777777
40,Allen County Public Library Geneaology Center,2008-07-09,10,48,4.8
41,Allen County Public Library Geneaology Center,2008-07-10,9,29,3.2222222222222223
42,Allen County Public Library Geneaology Center,2008-07-11,7,23,3.2857142857142856
43,Allen County Public Library Geneaology Center,2008-07-14,10,37,3.7
44,Allen County Public Library Geneaology Center,2008-07-15,11,49,4.454545454545454
45,Allen County Public Library Geneaology Center,2008-07-16,11,26,2.3636363636363638
46,Allen County Public Library Geneaology Center,2008-07-17,10,27,2.7
47,Allen County Public Library Geneaology Center,2008-07-18,11,39,3.5454545454545454
48,Allen County Public Library Geneaology Center,2008-07-21,11,39,3.5454545454545454
49,Allen County Public Library Geneaology Center,2008-07-22,8,33,4.125
50,Allen County Public Library Geneaology Center,2008-07-23,7,29,4.142857142857143
51,Allen County Public Library Geneaology Center,2008-07-24,8,28,3.5
52,Allen County Public Library Geneaology Center,2008-07-25,6,17,2.8333333333333335
53,Allen County Public Library Geneaology Center,2008-07-28,8,22,2.75
54,Allen County Public Library Geneaology Center,2008-07-29,9,29,3.2222222222222223
55,Allen County Public Library Geneaology Center,2008-07-30,9,31,3.4444444444444446
56,Allen County Public Library Geneaology Center,2008-07-31,8,25,3.125
57,Allen County Public Library Geneaology Center,2008-08-01,7,23,3.2857142857142856
58,Allen County Public Library Geneaology Center,2008-08-04,7,16,2.2857142857142856
