scan_center,lat,long,name
cebu,10.31803327,123.9205454,"Innodata Knowledge Services, Inc."
hongkong,22.31836625,114.181248,Hong Kong
alberta,53.52319337,-113.5271984,University of Alberta
sfdowntown,37.78244229,-122.4717902,Internet Archive Headquarters
shenzhen,113.9856083,"22.598147246440938,",Datum Data Co. Ltd.
sanfrancisco,37.78244229,-122.4717902,Internet Archive Headquarters
uoft,43.66312452,-79.3955813,University of Toronto
indiana,41.07773159,-85.14224798,Allen County Public Library Geneaology Center
euston,51.528702,-0.12761,British Library
la,"34.071863589276, -118.45416814232854",-118.2538418,UCLA
nj,40.34604013,-74.66685643,Princeton University
boston,42.34936189,-71.07819992,Boston Public Library
beltsville,39.02352526,-76.9216014,National Agricultural Library
capitolhill,38.8895692,-77.0045688,Library of Congress
nyc,40.80657713,-73.96320572,Columbia University
chapelhill,35.91177641,-79.04727727,UNC Chapel Hill
rich,37.92950359,-122.3459874,Internt Archive Physical Archive
ill,40.10440926,-88.22933583,UIUC
il,40.10440926,-88.22933583,UIUC
edinburgh,55.94870434,-3.191972202,National Library of Scotland
sfciviccenter,37.77914204,-122.4157906,San Francisco Public Library
china,34.891329,102.4324526,Datum Data Co. Ltd.
iala,"34.071863589276, -118.45416814232854",-118.2538418,UCLA
santamonica,"34.071863589276, -118.45416814232854",-118.2538418,UCLA
maryland,"38.98690162117241, -76.94130975499546",-77.173238,"University of Maryland, College Park"
raleigh,35.78748428,-78.66939426,North Carolina State University
provo,"40.24888001047114, -111.64850939879179",-111.66089,"BYU, Provo"
washingtondc,"38.891327348794235, -77.02586403862762",-76.99963604,Smithsonian Libraries and Archives
Capitolhill,38.89126054,-77.02612153,Smithsonian Libraries and Archives
tt_georgetown,"38.90659980589519, -77.07223903173019",-77.07212976,Georgetown University
sheridan,37.80039616,-122.4603638,Internet Archive Sheridan Headquarters
durham,36.00354706,-78.93830223,Duke University
providence,41.82598954,-71.40246227,Brown University
london,51.49684189,-0.176270642,"Natural History Museum Library, London"
manhattan,40.71867548,-74.00374316,The Archive of Contemporary Music
honolulu,21.64181757,-157.9265819,"BYU, Hawaii"
rexburg,43.81513782,-111.7835769,"BYU, Idaho Family History Library"
richmond,37.92950359,-122.3459874,Internt Archive Physical Archive
durham2,36.00354706,-78.93830223,Duke University
valencia,34.4198712,-118.5622386,Getty Research Institute Valencia Warehouse
richflorida,37.92950359,-122.3459874,Internt Archive Physical Archive
gainesville,29.67605506,-82.34584836,University of Florida
tt_osu,40.00685718,-83.03021857,The Ohio State University
tt_numismatic,40.72401342,-74.0064435,American Numismatic Society
tt_getty,34.07768084,-118.4752916,Getty Research Institute
tt_providence,41.82582965,-71.40050963,Brown University
tt_harvardernstmayr,42.37690652,-71.11665402,Harvard
pretoria,"-25.75484280055574,",28.2314278,University of Pretoria
UofT,43.66312452,-79.3955813,University of Toronto
tt_sok,13.01508353,77.58188903,The Servants of Knowledge
RMSC-IIITH,17.45672402,78.34022488,"Regional Mega Scanning Center by IIT, Hyderbad"
Durham,36.00354706,-78.93830223,Duke University
tt_pts,"40.345616069264594,",-74.66150508,Princeton University
sacramento,38.57603262,-121.4962643,California State Library
beijing,40.40857413,116.6825007,University of Chinese Academy of Sciences
tt_bangalore,13.01508353,77.58188903,Servants of knowledge
IIIT Hyderabad,17.45672402,78.34022488,International Institute of Information Technology Hyderabad
trent,44.35924592,-78.28865505,Trent University
arch,37.80039616,-122.4603638,Internet Archive Headquarters
guatemala,14.60594769,-90.50534962,Universidad Francisco Marroquín
tt_swinburne,-37.82169275,145.0389975,Analysis and Policy Observatory (APO)
BookScanUS,33.78561232,-84.41203005,BookScanUS
tt_amnh,"40.78192527034579,",-73.97246471,American Museum of Natural History
harrisburg,40.2650287,-76.88065236,State Library of Pennsylvania
CCLHYDERBAD,17.45672402,78.34022488,International Institute of Information Technology Hyderabad
amherst,42.32188825,-72.52766762,Yiddish Book Center
tt_stanfordlaw,37.4239279,-122.1674727,Stanford University
Boston,42.34936189,-71.07819992,Boston Public Library
miss,37.80039616,-122.4603638,Internet Archive Sheridan Headquarters
tt_sanfrancisco,37.78244229,-122.4717902,Internet Archive Headquarters
tt_bostonuniversity,42.34936189,-71.07819992,Boston Public Library
tt_pem,42.71459464,-70.90700382,Peabody Essex Museum
CCLHYDERABAD,17.45672402,78.34022488,International Institute of Information Technology Hyderabad
tt_calacademy,37.77042434,-122.4661162,California Acaddemy of Sciences
tt_jakarta,-6.176488669,106.8174559,"Centre for Strategic and International Studies, Jakarta"
S.V.Digital LibraryTTD,17.45672402,78.34022488,International Institute of Information Technology Hyderabad
Hong Kong,22.31836625,114.181248,Hong Kong
hangzhou,30.30877701,120.0865531,Zhejiang University
clemson,34.67345992,-82.8367119,Clemson University
Osmania University,17.41379886,78.52871404,Osmania University
102,,,
Kahle/Austin Foundation,37.79621158,-122.4492636,Kahle/Austin Foundation
CCL HYDERABAD,17.45672402,78.34022488,International Institute of Information Technology Hyderabad
clarksville,-76.90066207,-87.36517104,John Hopkins University Library Offsite Storage
tt_victoria,48.46368117,-123.3096647,University of Victoria
poughkeepsie,41.58494026,-73.8016634,Hopewell Junction
tt_warwick,52.38191585,-1.562005427,University of Warwick
lond,51.49684189,-0.176270642,"Natural History Museum Library, London"
alberta,53.52319337,-113.5271984,University of Alberta
MSN,,,
tt_riks,37.59104552,127.0281313,Research Institute of Korean Studies
1dollarscan (zLibro),37.37455087,-121.9099017,1 Dollar Scan
RMSC_IIITH,17.45672402,78.34022488,"Regional Mega Scanning Center by IIT, Hyderbad"
tt_stlouis,38.65014738,-90.32838852,Washington University in St. Louis
saltlakecity,40.77200728,-111.8906814,Church History Library
tt_louisville,38.25759766,-85.71422071,American Printing House for the Blind
tt_oberlin,41.29341848,-82.22281366,Oberlin College Libraries
tt_clatsopcounty,46.18852036,-123.8254003,Clatsop County Historical Society
brussels,"40.24888001047114, -111.64850939879179",-111.66089,"BYU, Provo"
tt_harrisburg,40.2650287,-76.88065236,State Library of Pennsylvania
tt_statenisland,40.64492345,-74.10271703,Staten Island Museum
utah,40.77037084,-111.8945972,Family Search Library
hbl_storrs,41.80696142,-72.25146626,University of Connecticut
tt_perkins,42.36138709,-71.17525908,Perkins School for the Blind
tt_harvardwidener,42.37690652,-71.11665402,Harvard
AP Press Academy Archives,16.50612678,80.64675882,Press Academy of Andhra Pradesh
hamilton,43.26097698,-79.8703973,Hamilton Public Library
tt_nybg,40.86181013,-73.8809266,New York Botanical Garden
mobot,38.6170646,-90.26278742,Missouri Botanical Garden
bali,-8.685606156,115.2297763,Perpustakaan Provinsi Bali
