,name,month_year,books_scanned
1,Allen County Public Library Geneaology Center,2002-01,4
2,Allen County Public Library Geneaology Center,2008-05,78
3,Allen County Public Library Geneaology Center,2008-06,583
4,Allen County Public Library Geneaology Center,2008-07,664
5,Allen County Public Library Geneaology Center,2008-08,641
6,Allen County Public Library Geneaology Center,2008-09,720
7,Allen County Public Library Geneaology Center,2008-10,563
8,Allen County Public Library Geneaology Center,2008-11,453
9,Allen County Public Library Geneaology Center,2008-12,553
10,Allen County Public Library Geneaology Center,2009-01,687
11,Allen County Public Library Geneaology Center,2009-02,632
12,Allen County Public Library Geneaology Center,2009-03,870
13,Allen County Public Library Geneaology Center,2009-04,950
14,Allen County Public Library Geneaology Center,2009-05,834
15,Allen County Public Library Geneaology Center,2009-06,922
16,Allen County Public Library Geneaology Center,2009-07,986
17,Allen County Public Library Geneaology Center,2009-08,779
18,Allen County Public Library Geneaology Center,2009-09,818
19,Allen County Public Library Geneaology Center,2009-10,1021
20,Allen County Public Library Geneaology Center,2009-11,694
21,Allen County Public Library Geneaology Center,2009-12,715
22,Allen County Public Library Geneaology Center,2010-01,918
23,Allen County Public Library Geneaology Center,2010-02,1032
24,Allen County Public Library Geneaology Center,2010-03,1084
25,Allen County Public Library Geneaology Center,2010-04,1009
26,Allen County Public Library Geneaology Center,2010-05,961
27,Allen County Public Library Geneaology Center,2010-06,1296
28,Allen County Public Library Geneaology Center,2010-07,911
29,Allen County Public Library Geneaology Center,2010-08,1371
30,Allen County Public Library Geneaology Center,2010-09,2043
31,Allen County Public Library Geneaology Center,2010-10,1856
32,Allen County Public Library Geneaology Center,2010-11,2568
33,Allen County Public Library Geneaology Center,2010-12,1821
34,Allen County Public Library Geneaology Center,2011-01,1833
35,Allen County Public Library Geneaology Center,2011-02,1735
36,Allen County Public Library Geneaology Center,2011-03,2336
37,Allen County Public Library Geneaology Center,2011-04,1881
38,Allen County Public Library Geneaology Center,2011-05,2096
39,Allen County Public Library Geneaology Center,2011-06,2839
40,Allen County Public Library Geneaology Center,2011-07,2152
41,Allen County Public Library Geneaology Center,2011-08,2156
42,Allen County Public Library Geneaology Center,2011-09,1936
43,Allen County Public Library Geneaology Center,2011-10,1655
44,Allen County Public Library Geneaology Center,2011-11,1213
45,Allen County Public Library Geneaology Center,2011-12,1001
46,Allen County Public Library Geneaology Center,2012-01,1425
47,Allen County Public Library Geneaology Center,2012-02,1281
48,Allen County Public Library Geneaology Center,2012-03,1832
49,Allen County Public Library Geneaology Center,2012-04,1656
50,Allen County Public Library Geneaology Center,2012-05,1537
51,Allen County Public Library Geneaology Center,2012-06,2041
52,Allen County Public Library Geneaology Center,2012-07,1602
53,Allen County Public Library Geneaology Center,2012-08,1691
54,Allen County Public Library Geneaology Center,2012-09,1302
55,Allen County Public Library Geneaology Center,2012-10,1925
56,Allen County Public Library Geneaology Center,2012-11,1825
57,Allen County Public Library Geneaology Center,2012-12,852
58,Allen County Public Library Geneaology Center,2013-01,951
59,Allen County Public Library Geneaology Center,2013-02,882
60,Allen County Public Library Geneaology Center,2013-03,957
61,Allen County Public Library Geneaology Center,2013-04,1573
62,Allen County Public Library Geneaology Center,2013-05,1532
63,Allen County Public Library Geneaology Center,2013-06,1819
64,Allen County Public Library Geneaology Center,2013-07,1696
65,Allen County Public Library Geneaology Center,2013-08,1206
66,Allen County Public Library Geneaology Center,2013-09,758
67,Allen County Public Library Geneaology Center,2013-10,737
68,Allen County Public Library Geneaology Center,2013-11,537
69,Allen County Public Library Geneaology Center,2013-12,538
70,Allen County Public Library Geneaology Center,2014-01,644
71,Allen County Public Library Geneaology Center,2014-02,727
72,Allen County Public Library Geneaology Center,2014-03,704
73,Allen County Public Library Geneaology Center,2014-04,803
74,Allen County Public Library Geneaology Center,2014-05,740
75,Allen County Public Library Geneaology Center,2014-06,1174
76,Allen County Public Library Geneaology Center,2014-07,804
77,Allen County Public Library Geneaology Center,2014-08,534
78,Allen County Public Library Geneaology Center,2014-09,1219
79,Allen County Public Library Geneaology Center,2014-10,898
80,Allen County Public Library Geneaology Center,2014-11,884
81,Allen County Public Library Geneaology Center,2014-12,1168
82,Allen County Public Library Geneaology Center,2015-01,865
83,Allen County Public Library Geneaology Center,2015-02,747
84,Allen County Public Library Geneaology Center,2015-03,1102
85,Allen County Public Library Geneaology Center,2015-04,944
86,Allen County Public Library Geneaology Center,2015-05,1204
87,Allen County Public Library Geneaology Center,2015-06,1778
88,Allen County Public Library Geneaology Center,2015-07,494
89,Allen County Public Library Geneaology Center,2015-08,816
90,Allen County Public Library Geneaology Center,2015-09,1250
91,Allen County Public Library Geneaology Center,2015-10,806
92,Allen County Public Library Geneaology Center,2015-11,555
93,Allen County Public Library Geneaology Center,2015-12,432
94,Allen County Public Library Geneaology Center,2016-01,937
95,Allen County Public Library Geneaology Center,2016-02,965
96,Allen County Public Library Geneaology Center,2016-03,766
97,Allen County Public Library Geneaology Center,2016-04,1274
98,Allen County Public Library Geneaology Center,2016-05,1917
99,Allen County Public Library Geneaology Center,2016-06,1713
100,Allen County Public Library Geneaology Center,2016-07,863
101,Allen County Public Library Geneaology Center,2016-08,772
102,Allen County Public Library Geneaology Center,2016-09,1232
103,Allen County Public Library Geneaology Center,2016-10,2911
104,Allen County Public Library Geneaology Center,2016-11,3039
105,Allen County Public Library Geneaology Center,2016-12,2682
106,Allen County Public Library Geneaology Center,2017-01,6346
107,Allen County Public Library Geneaology Center,2017-02,6769
