,name,std_pages_to_workers_ratio,min,max
0,Allen County Public Library Geneaology Center,4950.8772142714615,455.3333333333333,25303.5
1,American Museum of Natural History,284.91250538350494,6.0,904.0
2,American Numismatic Society,299.7901087190033,325.0,1845.111111111111
3,American Printing House for the Blind,582.6921330622289,13.75,4048.0
4,Analysis and Policy Observatory (APO),164.05544455728645,105.0,512.0
5,"BYU, Hawaii",407.19271661488057,250.0,1865.25
6,"BYU, Idaho Family History Library",487.8681846285529,186.0,2196.5384615384614
7,"BYU, Provo",2009.8373671356608,83.2,13167.90909090909
8,Boston Public Library,8818.513966712493,220.0,42868.565217391304
9,British Library,14021.863570777412,598.0,58235.6875
10,Brown University,857.1164930546422,195.77777777777777,3686.1052631578946
11,California Acaddemy of Sciences,697.7466028288918,204.0,1774.0
12,California State Library,1201.2789074029135,980.25,5833.571428571428
13,"Centre for Strategic and International Studies, Jakarta",390.35385676596496,8.0,1116.5
14,Church History Library,2624.868080174402,162.0,13287.0
15,Clatsop County Historical Society,195.82284786315668,71.625,976.1666666666666
16,Clemson University,1261.551649454077,198.0,6391.045454545455
17,Columbia University,8677.56896662395,25.0,36826.65384615384
18,Datum Data Co. Ltd.,56233.83962891874,58.0,252913.2
19,Duke University,1043.9551201000056,170.0,4729.789473684211
20,Family Search Library,661.6077969996701,130.0,3066.0
21,Georgetown University,310.84878120401754,34.0,1336.0
22,Getty Research Institute,1849.6735909043223,127.0,5454.111111111111
23,Getty Research Institute Valencia Warehouse,2225.6785616080824,1078.4,9359.9
24,Hamilton Public Library,135.90988597091447,1223.7142857142858,1488.0
25,Harvard,245.57432635594265,44.0,1119.0
26,Hong Kong,49166.01268884447,104.0,158266.53333333333
27,Hopewell Junction,240.57821935834014,38.0,543.6666666666666
28,"Innodata Knowledge Services, Inc.",261806.75192625084,4283.777777777777,993894.4193548388
29,Internet Archive Headquarters,28566.440708283375,2.0,80567.52
30,Internet Archive Sheridan Headquarters,2353.159967378392,2.0,12638.772727272728
31,Internt Archive Physical Archive,17267.669181949193,154.0,49106.57692307692
32,John Hopkins University Library Offsite Storage,1443.669256811129,127.0,4733.5
33,Library of Congress,9952.768347720532,86.0,39163.416666666664
34,National Agricultural Library,2200.426924559877,4.0,11932.65
35,National Library of Scotland,935.2862576903711,617.4285714285714,4331.636363636364
36,"Natural History Museum Library, London",2919.3098358523107,1615.0,19496.0
37,New York Botanical Garden,103.28151542542078,30.0,337.0
38,North Carolina State University,881.531148361224,644.0,4302.636363636364
39,Oberlin College Libraries,207.69380016954068,38.0,1140.0
40,Peabody Essex Museum,1.1547005383792515,30.0,32.0
41,Perkins School for the Blind,638.2300586090794,60.5,2472.0
42,Princeton University,7221.792898019201,237.0,28110.133333333335
43,Research Institute of Korean Studies,91.21677477306463,14.0,143.0
44,San Francisco Public Library,849.8265275055857,736.7368421052631,4400.863636363636
45,Servants of knowledge,609.7381237422944,878.0,2578.05
46,Smithsonian Libraries and Archives,754.68152223386,571.5,3956.705882352941
47,Stanford University,311.0905612544156,52.0,983.5
48,State Library of Pennsylvania,2448.4086158558316,368.0,13791.666666666666
49,Staten Island Museum,400.79374622849724,26.0,1352.0
50,The Archive of Contemporary Music,531.2957020691279,186.0,2172.222222222222
51,The Ohio State University,251.1780566084907,22.0,1452.0
52,The Servants of Knowledge,1517.8610227620982,89.5,6142.166666666667
53,UCLA,17035.07073685713,216.0,58694.84
54,UIUC,2766.865621319299,274.0,14103.473684210529
55,UNC Chapel Hill,2108.6101775747175,3.5,9655.85
56,Universidad Francisco Marroquín,237.76459812092318,16.0,991.1428571428572
57,University of Alberta,5652.577723385521,178.8,36658.6
58,University of Chinese Academy of Sciences,1157.434218948722,150.0,3591.4736842105262
59,University of Florida,2590.2919490092363,87.4,15791.0
60,"University of Maryland, College Park",729.7079939223903,316.2,2424.5714285714284
61,University of Pretoria,532.1209499069178,64.0,2301.7368421052633
62,University of Toronto,33253.892448836305,12.0,125087.375
63,University of Victoria,549.0826300581331,43.0,3184.0
64,University of Warwick,124.84750067097612,98.0,576.0
65,Washington University in St. Louis,697.0170020917652,17.5,4494.4
66,Yiddish Book Center,386.93473220285324,348.6666666666667,2352.75
67,Zhejiang University,,10.0,10.0
