,Index,Name,Description,Category,Images,Location,Geocode,DestinationIndex,Measure,Sources,AdditionalNotes
0,0,1 Dollar Scan,,,,,"37.27838889,-121.9492601",,,(https://archive.org/search?query=scanningcenter%3A%281dollarscan(zLibro)%29),"Scanning center ids separated by ""||"": 1dollarscan (zLibro)"
1,1,Allen County Public Library Geneaology Center,,#public,,,"41.0771285,-85.1432003",,"(books_scanned,214706,books),(pages_scanned,41400011.0,pages)",(https://archive.org/search?query=scanningcenter%3A%28indiana%29),"Scanning center ids separated by ""||"": indiana"
2,2,American Museum of Natural History,,#museum,,,"40.78130431,-73.97404878",,"(books_scanned,29,books),(pages_scanned,13456.0,pages)",(https://archive.org/search?query=scanningcenter%3A%28tt_amnh%29),"Scanning center ids separated by ""||"": tt_amnh"
3,3,Washington University in St. Louis,,#academic,,,"38.649678,-90.32848246",,"(books_scanned,18103,books),(pages_scanned,2099033.0,pages)","(https://archive.org/search?query=scanningcenter%3A%28tt_numismatic%29),(https://archive.org/search?query=scanningcenter%3A%28tt_stlouis%29),","Scanning center ids separated by ""||"": tt_numismatic||tt_stlouis"
4,4,American Printing House for the Blind,,#archive,,,"38.25759766,-85.71422071",,"(books_scanned,2326,books),(pages_scanned,94959.0,pages)",(https://archive.org/search?query=scanningcenter%3A%28tt_louisville%29),"Scanning center ids separated by ""||"": tt_louisville"
5,5,Analysis and Policy Observatory (APO),,,,,"-37.82242623,145.0393157",,"(books_scanned,41,books),(pages_scanned,2342.0,pages)",(https://archive.org/search?query=scanningcenter%3A%28tt_swinburne%29),"Scanning center ids separated by ""||"": tt_swinburne"
6,6,BookScanUS,,#bpo,,,"32.23962014,-110.9556127",,,(https://archive.org/search?query=scanningcenter%3A%28BookScanUS%29),"Scanning center ids separated by ""||"": BookScanUS"
7,7,Boston Public Library,,#public,,,"42.34936189,-71.07819992",,"(books_scanned,256899,books),(pages_scanned,57992922.0,pages)","(https://archive.org/search?query=scanningcenter%3A%28boston%29),(https://archive.org/search?query=scanningcenter%3A%28Boston%29),(https://archive.org/search?query=scanningcenter%3A%28tt_bostonuniversity%29),","Scanning center ids separated by ""||"": boston||Boston||tt_bostonuniversity"
8,8,British Library,,#government,,,"51.53000987,-0.1275571138",,"(books_scanned,230566,books),(pages_scanned,33722204.0,pages)",(https://archive.org/search?query=scanningcenter%3A%28euston%29),"Scanning center ids separated by ""||"": euston"
9,9,Brown University,,#academic,,,"41.82567677,-71.40513051",,"(books_scanned,19711,books),(pages_scanned,3950782.0,pages)","(https://archive.org/search?query=scanningcenter%3A%28providence%29),(https://archive.org/search?query=scanningcenter%3A%28tt_providence%29),","Scanning center ids separated by ""||"": providence||tt_providence"
10,10,"BYU, Hawaii",,#academic,,,"21.64181757,-157.9265819",,"(books_scanned,884,books),(pages_scanned,339732.0,pages)",(https://archive.org/search?query=scanningcenter%3A%28honolulu%29),"Scanning center ids separated by ""||"": honolulu"
11,11,"BYU, Idaho Family History Library",,#academic,,,"43.81949648,-111.7827966",,"(books_scanned,1655,books),(pages_scanned,769226.0,pages)",(https://archive.org/search?query=scanningcenter%3A%28rexburg%29),"Scanning center ids separated by ""||"": rexburg"
12,12,"BYU, Provo",,#academic,,,"40.24883196,-111.6492385",,"(books_scanned,40698,books),(pages_scanned,7121414.0,pages)","(https://archive.org/search?query=scanningcenter%3A%28provo%29),(https://archive.org/search?query=scanningcenter%3A%28brussels%29),","Scanning center ids separated by ""||"": provo||brussels"
13,13,California Academy of Sciences,,,,,"37.76985038,-121.4962605",,,(https://archive.org/search?query=scanningcenter%3A%28tt_calacademy%29),"Scanning center ids separated by ""||"": tt_calacademy"
14,14,California State Library,,#government,,,"38.57589327,-121.4962643",,"(books_scanned,1893,books),(pages_scanned,1084211.0,pages)",(https://archive.org/search?query=scanningcenter%3A%28sacramento%29),"Scanning center ids separated by ""||"": sacramento"
15,15,"Centre for Strategic and International Studies, Jakarta",,#academic,,,"-6.177154589,106.8164464",,"(books_scanned,492,books),(pages_scanned,52143.0,pages)",(https://archive.org/search?query=scanningcenter%3A%28tt_jakarta%29),"Scanning center ids separated by ""||"": tt_jakarta"
16,16,Church History Library,,#archive,,,"40.77200728,-111.8906814",,"(books_scanned,15954,books),(pages_scanned,597185.0,pages)",(https://archive.org/search?query=scanningcenter%3A%28saltlakecity%29),"Scanning center ids separated by ""||"": saltlakecity"
17,17,Clatsop County Historical Society,,#archive,,,"46.1884006,-123.8253618",,"(books_scanned,2171,books),(pages_scanned,149916.0,pages)",(https://archive.org/search?query=scanningcenter%3A%28tt_clatsopcounty%29),"Scanning center ids separated by ""||"": tt_clatsopcounty"
18,18,Clemson University,,#academic,,,"34.67661443,-82.8364096",,"(books_scanned,10410,books),(pages_scanned,1993435.0,pages)",(https://archive.org/search?query=scanningcenter%3A%28clemson%29),"Scanning center ids separated by ""||"": clemson"
19,19,Columbia University,,#academic,,,"40.80657713,-73.96320572",,"(books_scanned,62910,books),(pages_scanned,21137840.0,pages)",(https://archive.org/search?query=scanningcenter%3A%28nyc%29),"Scanning center ids separated by ""||"": nyc"
20,20,Datum Data Co. Ltd.,,#bpo,,,"22.50635114,114.0501618",,"(books_scanned,482936,books),(pages_scanned,139477839.0,pages)","(https://archive.org/search?query=scanningcenter%3A%28shenzhen%29),(https://archive.org/search?query=scanningcenter%3A%28china%29),","Scanning center ids separated by ""||"": shenzhen||china"
21,21,Duke University,,#academic,,,"36.00294192,-78.93834083",,"(books_scanned,21850,books),(pages_scanned,5934513.0,pages)","(https://archive.org/search?query=scanningcenter%3A%28durham%29),(https://archive.org/search?query=scanningcenter%3A%28durham2%29),(https://archive.org/search?query=scanningcenter%3A%28Durham%29),","Scanning center ids separated by ""||"": durham||durham2||Durham"
22,22,Family Search Library,,#archive,,,"40.77037084,-111.8945972",,"(books_scanned,803,books),(pages_scanned,336247.0,pages)",(https://archive.org/search?query=scanningcenter%3A%28utah%29),"Scanning center ids separated by ""||"": utah"
23,23,Georgetown University,,#academic,,,"38.90659981,-77.07223903",,"(books_scanned,218,books),(pages_scanned,66954.0,pages)",(https://archive.org/search?query=scanningcenter%3A%28tt_georgetown%29),"Scanning center ids separated by ""||"": tt_georgetown"
24,24,Getty Research Institute,,#museum,,,"34.0769306,-118.4754969",,"(books_scanned,195,books),(pages_scanned,60557.0,pages)",(https://archive.org/search?query=scanningcenter%3A%28tt_getty%29),"Scanning center ids separated by ""||"": tt_getty"
25,25,Getty Research Institute Valencia Warehouse,,#museum,,,"34.0769306,-118.4754969",,"(books_scanned,24347,books),(pages_scanned,8250456.0,pages)",(https://archive.org/search?query=scanningcenter%3A%28valencia%29),"Scanning center ids separated by ""||"": valencia"
26,26,Hamilton Public Library,,#public,,,"43.25893488,-79.87052526",,"(books_scanned,201,books),(pages_scanned,41648.0,pages)",(https://archive.org/search?query=scanningcenter%3A%28hamilton%29),"Scanning center ids separated by ""||"": hamilton"
27,27,Harvard,,#academic,,,"42.37357506,-71.11649816",,"(books_scanned,944,books),(pages_scanned,96925.0,pages)","(https://archive.org/search?query=scanningcenter%3A%28tt_harvardernstmayr%29),(https://archive.org/search?query=scanningcenter%3A%28tt_harvardwidener%29),","Scanning center ids separated by ""||"": tt_harvardernstmayr||tt_harvardwidener"
28,28,Internet Archive China,,,,,"22.39964476,114.1931671",,,"(https://archive.org/search?query=scanningcenter%3A%28hongkong%29),(https://archive.org/search?query=scanningcenter%3A%28HongKong%29),","Scanning center ids separated by ""||"": hongkong||Hong Kong"
