name,days_worked
Allen County Public Library Geneaology Center,200.0
American Museum of Natural History,433.0
American Numismatic Society,792.0
American Printing House for the Blind,1114.5
Analysis and Policy Observatory (APO),208.0
"BYU, Hawaii",186.0
"BYU, Idaho Family History Library",137.5
"BYU, Provo",1508.0
Boston Public Library,274.0
British Library,280.0
Brown University,1490.0
California Acaddemy of Sciences,378.0
California State Library,81.5
"Centre for Strategic and International Studies, Jakarta",419.0
Church History Library,83.0
Clatsop County Historical Society,336.0
Clemson University,270.5
Columbia University,85.5
Datum Data Co. Ltd.,127.0
Duke University,183.0
Family Search Library,19.0
Georgetown University,50.0
Getty Research Institute,295.0
Getty Research Institute Valencia Warehouse,461.0
Hamilton Public Library,44.0
Harvard,521.5
Hong Kong,10.0
Hopewell Junction,394.0
"Innodata Knowledge Services, Inc.",696.0
Internet Archive Headquarters,81.0
Internet Archive Sheridan Headquarters,24.0
Internt Archive Physical Archive,50.0
John Hopkins University Library Offsite Storage,878.0
Library of Congress,95.0
National Agricultural Library,387.5
National Library of Scotland,365.5
"Natural History Museum Library, London",450.0
New York Botanical Garden,1193.0
North Carolina State University,204.0
Oberlin College Libraries,988.0
Peabody Essex Museum,293.0
Perkins School for the Blind,572.0
Princeton University,77.0
Research Institute of Korean Studies,35.0
San Francisco Public Library,79.0
Servants of knowledge,82.5
Smithsonian Libraries and Archives,0.0
Stanford University,0.0
State Library of Pennsylvania,396.0
Staten Island Museum,413.0
The Archive of Contemporary Music,70.0
The Ohio State University,1090.0
The Servants of Knowledge,126.0
Trent University,
UCLA,140.0
UIUC,227.0
UNC Chapel Hill,162.0
Universidad Francisco Marroquín,219.0
University of Alberta,205.0
University of Chinese Academy of Sciences,204.5
University of Florida,217.0
"University of Maryland, College Park",215.0
University of Pretoria,272.0
University of Toronto,113.0
University of Victoria,290.0
University of Warwick,32.0
Washington University in St. Louis,937.5
Yiddish Book Center,208.5
Zhejiang University,0.0
