,Unnamed: 0,Title,Article,Url,bool
2,2,The Fight Continues,"  Today’s lower court decision in Hachette v. Internet Archive is a blow to all libraries and the communities we serve. This decision impacts libraries across the US who rely on controlled digital lending to connect their patrons with books online. It hurts authors by saying that unfair licensing models are the only way their books can be read online. And it holds back access to information in the digital age, harming all readers, everywhere.  But it’s not over—we will keep fighting for the traditional right of libraries to own, lend, and preserve books. We will be appealing the judgment and encourage everyone to come together as a community to support libraries against this attack by corporate publishers.  We will continue our work as a library. This case does not challenge many of the services we provide with digitized books including interlibrary loan, citation linking, access for the print-disabled, text and data mining, purchasing ebooks, and ongoing donation and preservation of books. Statement from Internet Archive founder, Brewster Kahle:“Libraries are more than the customer service departments for corporate database products. For democracy to thrive at global scale, libraries must be able to sustain their historic role in society—owning, preserving, and lending books. This ruling is a blow for libraries, readers, and authors and we plan to appeal it.” Take Action! Stand up for libraries ✊Stand up for the digital rights of all libraries! Join the Battle for Libraries: https://www.battleforlibraries.com/  Support the Internet Archive 📚 Support the Internet Archive to continue fighting for libraries in court! Stay connected 🔗Sign up for the Empowering Libraries newsletter for ongoing updates about the lawsuit and our library. ",https://blog.archive.org/2023/03/,True
5,5,"Press conference statement: Brewster Kahle, Internet Archive","Brewster Kahle is the founder and digital librarian of the Internet Archive. Brewster spoke at the press conference hosted by Internet Archive ahead of oral argument in Hachette v. Internet Archive.  Statement The Internet is failing us. The Internet Archive has tried, along with hundreds of other libraries, to do something about it.  A ruling in this case ironically can help all libraries, or it can hurt.   The Internet Archive is a library I founded 26 years ago. This library has brought hundreds of years of books to the wikipedia generation, and now 4 massive publishers are suing to stop us. As the world now looks to their screens for answers, what they find is often not good.  People are struggling to figure out what is true and it is getting harder.   Digital learners need access to a library of books, a library at least as deep as the libraries we older people had the privilege to grow up with.   The Internet Archive has worked with hundreds of libraries for decades to provide such a library of books.  A library where each of those books can be read by one reader at a time.  This is what libraries have always done.  We also work with libraries that are under threat.  We work with many libraries that have closed their doors completely– libraries with unique collections: Claremont School of Theology, Marygrove College of Detroit, cooking school of Johnson & Wales Denver, Concordia College of Bronxville NY, Drug Policy Alliance’s library of NYC, the Evangelical Seminary of Pennsylvania. I have looked these librarians in the eye and told them that we are there for them.  They entrust their books to us, as a peer library, to carry forward their mission. Most of the books are not available from the publishers in digital form, and never will be.  And as we have seen, students, researchers and the print-disabled continue to use these books for quotations and fact checking.    And I think we can all agree we need to be able to do fact checking. Here’s what’s at stake in this case: hundreds of libraries contributed millions of books to the Internet Archive for preservation in addition to those books we have purchased. Thousands of donors provided the funds to digitize them.    The publishers are now demanding that those millions of digitized books, not only be made inaccessible, but be destroyed. This is horrendous.   Let me say it again– the publishers are demanding that millions of digitized books be destroyed. And if they succeed in destroying our books or even making many of them inaccessible, there will be a chilling effect on the hundreds of other libraries that lend digitized books as we do. This could be the burning of the Library of Alexandria moment– millions of books from our community’s libraries – gone.    The dream of the Internet was to democratize access to knowledge, but if the big publishers have their way, excessive corporate control will be the nightmare of the Internet. That is what is at stake.   Will libraries even own and preserve collections that are digital?  Will libraries serve our patrons with books as we have done for millennia?    A positive ruling that affirms every library’s right to lend the books they own, would build a better Internet and a better society. Thank you.",https://blog.archive.org/2023/03/,True
9,9,"Press conference statement: Catherine Stihler, Creative Commons","Catherine Stihler is the chief executive officer of Creative Commons. Catherine spoke at the press conference hosted by Internet Archive ahead of oral argument in Hachette v. Internet Archive.  Statement My name is Catherine Stihler, and I’m the CEO of Creative Commons. As a nonprofit dedicated to supporting the sharing and reuse of creativity and knowledge, we strongly support the Internet Archive in its defense of Controlled Digital Lending. Free, equitable, and open access to all knowledge stimulates creativity, is essential for research and learning, and constitutes a bedrock principle of free and democratic societies. The Internet Archive is leading the fight for establishing permanent access to historical collections that exist in digital format. With Controlled Digital Lending, libraries like the Internet Archive can lend one copy of digitized material from their collection to one borrower for a limited time, just like they would a physical book. While publishers argue that CDL decreases their profits, studies show that in fact library digitization increases sales of physical editions by about 34% and increases the likelihood of any sale by 92%, particularly for less popular or out-of-print works. At Creative Commons, we believe copyright should encourage Controlled Digital Lending and ensure that legal mechanisms are in place to support this practice that benefits all. This isn’t a position that we just came to on our own; instead, it came from working hand in hand with cultural and knowledge institutions across the world. Like Communia’s policy recommendations state: “libraries should be enabled to fulfill their mission in the digital environment.” As libraries modernize their services, we need to protect the legal frameworks that support their digital lending practices. Permitting and protecting Controlled Digital Lending is a key way to help ensure copyright is fit for the modern age. Guided by our strong belief in better sharing, CC will continue to support the Internet Archive’s crucial efforts to ensure the public can access knowledge and culture on a global level.",https://blog.archive.org/2023/03/,True
12,12,Celebrating Library Fair Use,"It’s fair use week in the United States, and here at the Internet Archive, we join all those in the library community and beyond who celebrate the role fair use plays in enabling access to knowledge.  Fair use is a tremendously important part of US copyright law. From effectuating First Amendment rights to fostering innovation, the Supreme Court has described its “basic purpose” as “providing a context-based check that can help to keep a copyright monopoly within its lawful bounds.” And over the years, fair use has rightly evolved to ensure it can continue to play its role in changing times.  But fair use is not without its challenges. Professor Larry Lessig once famously quipped that “fair use in America simply means the right to hire a lawyer.” And given the associated expense, this can have an asymmetric effect on fair use. The book publishing industry, for example, is dominated by multi-billion-dollar firms; their economic power is so concentrated that a federal court recently enjoined a further attempt at consolidation. Meanwhile, although libraries collectively represent a substantial portion of book purchasers, their economic power is dispersed among many thousands of public, research, academic, and other institutions. Thus, while some may be willing to “roll the dice” on fair use, the costs and risks lead many to underuse this important user’s right. As the defendant in a years-long fair use case of our own—recently scheduled for oral argument on March 20th—we are all too familiar with this aspect of the law. As our case demonstrates, the economic challenges of fair use are not only about legal fees; economics are embedded in the doctrine. In some ways, this is a good thing. For example, as we explained in our brief, fair use has always been concerned with protecting non-profit and educational uses of copyrighted works. When considering whether a particular use is fair, the first question is ordinarily whether it’s “noncommercial.” With respect to our own book collections, this is straightforward: the books are lawfully acquired, digitized at our own expense, and lent to one reader at a time—without any cost to them—for personal, research, or scholarly use. And while noncommerciality does, of course, have to be balanced against certain economic interests of the publishers as part of the fair use analysis, that’s precisely what the owned-to-loan ratio and other strictures of controlled digital lending work to do.   For all its challenges, fair use continues to provide important rights and safeguards to libraries. Among other things, it allows libraries to utilize new technologies and respond to new challenges without waiting for the legislature to pass new laws. In fact, this is exactly what the legislature intended it to do. Fair use means libraries can develop innovative services like our work to support Wikipedia citations, respond to new challenges like the COVID lockdowns, and otherwise continue to serve patrons as the world evolves. And it means libraries, like the Internet Archive and many others, can lend their books to one reader at a time, as they have always done.",https://blog.archive.org/2023/02/,True
22,22,"Archive for Amateur Radio Grows to 51,000 Items","Internet Archive’s Digital Library of Amateur Radio & Communications is quickly growing to become an important archive of radio’s past and present. The collection has blossomed to well over 51,000 items related to ham radio, shortwave listening, scanners, and related communications. The newest additions include books, journals and magazines, newsletters, and archives of early Internet discussion lists. More than 3,300 books and magazines are now available via controlled digital lending in the DLARC lending library. These materials, including hundreds of magazine and journal issues including Popular Electronics, RF Design, and General Radio Experimenter, can be borrowed for online or offline reading, one reader at a time, by anyone with a free Internet Archive account. DLARC has also added amateur radio magazines QST from 1912-1961, Radio & Television News from 1919-1959, and Radio magazine from 1920-1947. Nearly 1,300 episodes of The RAIN Report, an audio program that aired news and interviews relevant to the amateur radio community from 1985-2019, are now available, including hundreds of lost episodes, thanks to the help of the program’s producer, Hap Holly. DLARC has also added the 700-episode library of the National Radio Club DX Audio Service, which reported radio-related news from 1985 through 2015. The archive of radio-related podcasts now includes QSO Today, Linux in the Ham Shack, RAIN Hamcast, Amateur Logic, and others.  Radio clubs are utilizing the DLARC archive to provide long-term backup of content and increase their visibility to new audiences. The Milwaukee Radio Amateurs’ Club, one of the oldest ham radio groups, is uploading its entire historical archive, an unparalleled collection of newsletters, correspondence, newspaper clippings, and meeting minutes documenting the group’s history.  Other group newsletters include British Amateur Television Club’s CQ-TV, the CWops Solid Copy newsletter for Morse code enthusiasts, Boulder Amateur Television Club TV Repeater’s REPEATER, and Scope, the newsletter of the Palomar Amateur Radio Club. The DLARC library has also added newsletters from radio clubs around the world, including the Dutch Amateur Radio Union, the Chester & District Radio Society (England), and the defunct Canadian Amateur Radio Operators’ Association. DLARC now archives papers and presentation slides from 41 years of TAPR conferences, including the ARRL and TAPR Digital Communications Conference, and the Computer Networking Conference. The collection is accessible like never before, full-text searchable and with detailed metadata. In addition, TAPR’s Packet Status Register newsletter, published since 1982, is also archived. DLARC has also begun archiving amateur radio email discussion lists, so far making tens of thousands of discussion threads available and searchable — going as far back as the late 1980s — for the first time in decades. The selection includes INFO-HAMS Digest, Boatanchors (a mailing list for fans of vacuum tube radios), Packet-Radio Digest, and Ham-Digital Digest. DLARC is funded by a significant grant from Amateur Radio Digital Communications (ARDC) to create a digital library that documents, preserves, and provides open access to the history of this community. The Digital Library of Amateur Radio & Communications invites radio clubs and individuals to submit collections of material, whether they are already in digital format or not. Anyone with material to contribute, questions about the project, or interest in creating a digital library for other professional communities, please contact: Kay Savetz, K6KJNProgram Manager, Special Collectionskay@archive.orgMastodon: dlarc@mastodon.radio",https://blog.archive.org/2023/01/,True
24,24,Public Domain Day Festivities Draw Global Audience of Enthusiasts,"People from around the world — many wearing their best roaring ‘20s attire — came to the Internet Archive’s online party on January 19 to toast creative works recently added to the public domain. The event was hosted in partnership with SPARC, Creative Commons, Library Futures, Authors Alliance, Public Knowledge, and Duke’s Center for the Study of the Public Domain. Watch recording  View table of contents & speakers “We’re celebrating works published in 1927 becoming open to all in the United States where we can legally share, post, and build upon them without permission or fee,” said Jennifer Jenkins of the Center for the Study of the Public Domain at Duke Law School. “You’re free to reimagine the characters, the events, the settings, the imagery, and use them in your own stories, musical plays, and movies.” Librarians and archivists are eager to preserve these cultural materials, the vast majority of which are out of circulation. Now that they’re in the public domain, anyone can preserve them and digitize them — making them more discoverable. “The public domain is important because it enables access to cultural materials that might otherwise be lost to history,” Jenkins said.  Among some of the best-known works that entered the public domain in 2023 include books, such as To the Lighthouse by Virginia Wolfe and The Big Four by Agatha Christie; sheet music for The Best Things in Life Are Free and I Scream, You Scream, We All Scream For Ice Cream; silent movies such as Metropolis by Fritz Lang, Putting Pants on Phillip with Stan Laurel and Oliver Hardy. The first full-length film featuring synchronized sound was produced in 1927: The Jazz Singer with Al Jolson.  Rob Byrne, a film restorer and president of the San Francisco Silent Film Festival, explained at the event that previous films were not truly silent since every motion picture performance in the 1920s was accompanied by live musicians—from full orchestras in big cities to single piano players in small town theaters. The average American went to the movies more than three times every week, and international movies were accepted because there were no language barriers, Bryne added.  Unfortunately, more than 80% of all the films produced prior to 1930 have been lost. Even fewer films featuring Black casts made for Black audiences survived, said Cara Cadoo, associate professor of history, cinema and media studies at Indiana University. “Race has always been a part of the story of the American cinema,” she said.  It was because she could easily view movies in the public domain that Cadoo said she was recently able to discover a clip from a lost Black film. Through some detective work, she identified footage from the 1917 film, “The Trooper of Troop K,” while studying another film from 2023. “This history is something that just in recent decades, people have taken seriously,” Cadoo said. Interest in the public domain is global! The map above shows where our viewers watched the celebration. Brigitte Vezina, director of policy and open culture at Creative Commons, explained that libraries, museums and archives still face big challenges simply to fulfill their mission in the digital world. (See report Barriers to Open Culture.) Institutions are working in an outdated framework and copyright policy reform is needed, she said.  “We’ve been promoting open culture to build a more equitable, accessible, and innovative world,” said Vezina, citing its new call to action policy guide. “It’s based on this rich experience that our open culture program supports better sharing of cultural heritage globally.”    Along with works celebrated from 1927, SPARC’s Nick Shockey talked about another important milestone in expanding public access to knowledge. In August, the White House Office of Science and Technology Policy issued new guidance that requires the federal government set the default to open for all publicly funded research in the United States.  “This will make over $80 billion each year in research produced with the support of U.S. taxpayer dollars immediately available to anyone online,” Shockey said. “The priority is part of a broader commitment to advancing equity in science and scholarship and recognizing the ways in which openness can be a powerful enabler of more equitable systems.” The government has also set 2023 as the Year of Open Science. What is and is not publicly and openly accessible is a public policy question, said Shockey, noting the disappointing 20-year pause for the Canadian public domain. “As we celebrate today, I hope the momentum that we generate can be channeled into ongoing advocacy to ensure that more and more of the knowledge that shapes our world is made available to everybody and to more fully realize the right of sharing knowledge,” Shockey said. For an example of the value of free sharing of information from the federal government, Meredith Rose, senior policy counsel with Public Knowledge, highlighted NASA’s public posting of images from the Webb space telescope. “Some things are born free,” said Internet founder Brewster Kahle. “Democracies around the world publish openly because they believe in education and they want it to be spread as widely as possible.” Open does not always mean easily accessible, however. Kahle is working on Democracy’s Library, a project to gather government material from the U.S., Canada and around the world and preserve them in one place. “This is the internet we’re dreaming of. Let’s go and make sure that it’s got all of the public domain materials publicly accessible – not just all those things that are from the classic era. Let’s go and celebrate the current public domain.” Also presenting at the celebration was Rick Prelinger, an archivist, filmmaker, writer and educator. He began collecting ephemeral films (used for specific purposes such as advertising, educational and industrial films) in 1983. His collection of 60,000 films was acquired by the Library of Congress in 2002. He partnered with the Internet Archive to make a subset of the collection — now more than 8,500 films — available online for free viewing, downloading and reuse in the Prelinger Archive.  Throughout the program, students from the Snowden International School (Boston) and the Ruth Asawa San Francisco School of The Arts (San Francisco) read poetry newly entered into the public domain from Caroling Dusk: an anthology of verse by Negro poets by Countee Cullen. Jennie Rose Halperin, executive director of Library Futures, and Lila Bailey, senior policy counsel at the Internet Archive co-hosted the party. [Cross-posted blog with SPARC / Internet Archive]",https://blog.archive.org/2023/01/,True
25,25,"As the US Public Domain Expands, 20-Year Pause for the Canadian Public Domain Begins","Festivities are planned on January 19 to recognize Public Domain Day and embrace the possibilities of new works freely available from 1927. In the United States, the recent declaration of the federal year of Open Science and the White House memo unlocking publicly funded research outputs has buoyed the open community and its outlook on knowledge sharing. However, the celebration will be muted in Canada where librarians and educators are assessing the impact of a vast expansion of the copyright term.  Canada’s copyright protection for artistic works was extended as 2022 came to a close from life of the author plus 50 years—to life of the author plus 70 years. The change was the result of international trade negotiations in the United States-Mexico-Canada Agreement (USMCA), requiring Canada to bring its terms closer to that of the U.S. Once items are in the public domain, they can be republished or repurposed without seeking permission or paying a rights holder. This allows libraries, museums, and archives to use materials freely for research and historical purposes, as well as post online archives of the important documents and creative works. The change in Canada means books, movies, plays, and songs that were previously scheduled to be free from copyright  will not be in the public domain until 2043. “It’s a disappointment and a feeling of mourning,” said Andrea Mills, executive director of Internet Archive Canada, of the policy change that prompted the cancellation of Public Domain Day parties in the country. “It feels more like we should have a wake.” (Others share similar concerns about the negative impact of the policy change. See Reconsidering the Copyright Bargain: by Adian Sheppard, director of the University of Alberta’s copyright office; A bizarre 20-year hiatus: Changes to copyright term in Canada by Jennifer Zerkee, Simon Fraser University library copyright specialist; and an article Interminable pause: Government must address harm caused by extension of copyright term by Mark Swartz, a scholarly publishing librarian an Queen’s University.) Canadians used to feel good about the annual Public Domain Day, with its shorter copyright term than the U.S., said Michael Geist, Canada Research Chair in internet and e-commerce law at the University of Ottawa. Now, the country is beginning to consider the ramifications of the new terms, including disruptions to digitization projects and the increased cost of materials that will remain under copyright for educational institutions. “Not having an enriched public domain for 20 years creates some real harms,” said Geist, who is also a member of the Internet Archive Canada board. “The vast majority of works that have no commercial value at the end of their life will be locked down for an additional 20 years.” The change will limit access to little-known Canadian authors whose works are often out of print, Mills said. (See her blog post: A Missed Opportunity to Revive Obscure Canadian Literature – Internet Archive Canada) The policy change was buried in a budget bill and there was no public announcement, leaving many Canadians unaware, Geist said. The extended protection was agreed to as part of closed trade negotiations, said Peter Routhier, a copyright attorney who is on the Internet Archive’s policy team. That kind of negotiation does not follow the same sort of open process as a democratic legislature. In these kinds of settings, commercial interests are often prioritized, and there are very few ways for the public to engage, he said. Mills said these recent changes by the government have an “overall chilling effect” on copyright policy. Before the copyright terms were extended, the Canadian government did hold hearings to consider registration solutions and exceptions to works entering the public domain. In the end, those proposals were not adopted. When looking at thousands of works, there is value in the overall collective rights for the authors, Geist said. But, he noted, there are also education costs to acquire works and loss of creativity to revise works in new ways when materials remain under copyright. “It’s hard to be optimistic,” Geist said. “But it’s in the realm of possibility the government could consider some [copyright exceptions], particularly for groups like librarians, archives, and museums. “The government has not shown a lot of interest in this issue. If anything, it has sort of done its best to try to keep it below the radar screen. We’ll have to wait and see.” To advance the public interest, librarians in Canada, the U.S., and elsewhere are pushing for reforms to licensing agreements to e-books. With the pause for new works entering the Canadian public domain, advocacy to make knowledge open by default is even more important.  The events in Canada are a reminder that what is—and isn’t—in the public domain is ultimately a policy decision and vigilance is needed to ensure the public interest is elevated in policy conversations about copyright. Tune in to learn more about Public Domain Day at an event hosted by the Internet Archive in collaboration with partner organizations on January 19 at 4 p.m. ET. Register here. This year’s event will celebrate the theme, “The Best Things in Life Are Free,” and feature a host of entertainers, historians, librarians, academics, activists, and others. [Cross posted with SPARC]",https://blog.archive.org/2023/01/,True
27,27,2022 Empowering Libraries Year in Review,"The Internet Archive launched the Empowering Libraries campaign in 2020 to defend equal access to library services for all. Since then, threats to libraries have only grown, so our fight continues. As 2022 draws to a close, here’s a look back through some of our library’s milestones and accomplishments over the year. In the news When the war in Ukraine started, volunteers began using the Wayback Machine and other online tools to preserve Ukrainian websites and digital collections. The effort, Saving Ukrainian Cultural Heritage Online (SUCHO), now has more than 1,500 volunteers working to preserve more than 5,000 web sites and 50TB of data. Watch a compelling story about SUCHO from CBS News featuring Quinn Dombrowski, one of the project leaders from Stanford University, and Mark Graham, director of the Wayback Machine.In May, we partnered with Better World Books on a book drive supporting Ukrainian scholars. BWB customers were able to donate $1 at checkout to acquire books cited in the Ukrainian-language Wikipedia for the Internet Archive to preserve, digitize, and link to citations in Wikipedia.In October, we introduced Democracy’s Library, a free, open, online compendium of government research and publications from around the world. We hosted an in-person celebration that highlighted the critical importance of free and open access to government publications, and have continued framing out what Democracy’s Library is and why it’s necessary.Internet Archive Canada opened its new headquarters in Vancouver, BC, alongside the Association of Canadian Archivists 2022 Conference.More than 1,000 authors have spoken out on behalf of libraries, demanding that publishers and trade associations put the digital rights of librarians, readers, and authors ahead of shareholder profits. In a tumultuous year on social media, Internet Archive has added a Mastodon server. Why? We need a game with many winners, not just a few powerful players.In an OpEd for TIME, Brewster Kahle, founder and digital librarian of the Internet Archive, warned, “the instability occasioned by Twitter’s change in ownership has revealed an underlying instability in our digital information ecosystem.” The internet reacts to the lawsuit against our library On July 7, 2022, the Internet Archive filed a motion for summary judgment, asking a federal judge to rule in our favor and end a radical lawsuit, filed by four major publishing companies, that aims to criminalize library lending. Check out the Hachette v. Internet Archive page at EFF for all filings and resources.We hosted a press conference on July 8 about the lawsuit featuring statements from Brewster Kahle (Internet Archive) and Corynne McSherry (EFF), plus powerful impact statements from medical school librarian Benjamin Saracco and author and editor Tom Scocca.Interest in the lawsuit crossed over into mainstream channels following a viral tweet about the filing, which kicked off a lengthy online conversation about library rights, digital lending and digital ownership.After a series of standard filings across the summer and early fall, on October 8, Internet Archive filed the final brief in support of our motion for summary judgment, asking the Court to dismiss the lawsuit because our lending program is a fair use.What does the lawsuit mean for the future of libraries? Internet Archive’s policy counsel, Peter Routhier, considers how the publishers view libraries based on their filings.Check out the Hachette v. Internet Archive page at EFF for all filings and resources.  One message really resonated online—people were surprised to learn that the Internet Archive has a physical archive that preserves all the physical books we’ve acquired and digitized.  eBooks, #OwnBooks & digital ownership 2022 might go down as the year that people started to really understand what it means when libraries & individuals can no longer own content, like when streaming-only content vanishes from media platforms.Musician Max Collins wrote in Popula how “owning media is now an act of countercultural defiance,” walking readers through his first-hand example of how the streaming model doesn’t work for artists, only corporations.Brewster Kahle published, “Digital Books wear out faster than Physical Books,” countering the notion put forward by publishers that ebooks don’t wear out. In fact, Brewster notes that ebooks require “constant maintenance—reprocessing, reformatting, re-invigorating or they will not be readable or read.”Brewster’s post sparked the interest of LA Times business columnist Michael Hiltzik, who expanded on the issues around digital ownership in “Here’s why you can’t ‘own’ your ebooks.”To celebrate why it’s important to own books, and to help bring visibility to issues around digital ownership, we launched the participatory #OwnBooks campaign, which invited people to share photos with the oldest book, or most treasured volume, from their personal collection, like this signed copy of The Phantom Tollbooth.Author Glyn Moody published his latest book, Walled Culture, as a free ebook that you can download and own, or as a physical book that you can purchase in print.More publishers joined the movement to sell—not license—ebooks to libraries, including independent publisher 11:11 Press. The future of libraries In February, we launched Library as Laboratory, a new series exploring the computational use of Internet Archive collections. The series included segments from digital humanities scholars, computational scientists, web archiving professionals and other researchers.To help librarians and other information professionals better understand the decentralized web, Internet Archive partnered with the Metropolitan New York Library Council, DWeb, and Library Futures for a six-part series, Imagining a Better Online World: Exploring the Decentralized Web. During this year’s National Library Week, we invited readers to Meet the Librarians who work at the Internet Archive, highlighting the new roles our librarians lead in support of our mission, “Universal Access to All Knowledge.”Internet Archive joined with Creative Commons, Wikimedia Foundation and others in the Movement for a Better Internet, a collaborative effort to ensure that the internet’s evolution is guided by public interest values.Lila Bailey, Internet Archive’s senior policy fellow, and Michael Menna, policy fellow from Stanford University, released their report,”Securing Digital Rights for Libraries: Towards an Affirmative Policy Agenda for a Better Internet,” regarding libraries’ role in shaping the next iteration of the internet.  Milestones Dave Hansen, one of the authors of the white paper on controlled digital lending, was named the new executive director of Authors Alliance.Carl Malamud received this year’s Internet Archive Hero Award for his lifelong mission to make public information freely available to the public.We hosted the first in-person Library Leaders Forum in three years, preceded by a virtual Forum that brought together hundreds of digital library enthusiasts to explore issues related to digital ownership and the future of library collections.We hosted a joint webinar with OCLC about our resource sharing pilots, including how to request articles from the Internet Archive via interlibrary loan.The Music Library Association made its publications openly available at Internet Archive.We began gathering content to support the newly announced Digital Library of Amateur Radio and Communications (DLARC), and then quickly surpassed 25,000 items in the collection.DISCMASTER, a new software tool, allows users to search across the contents of the tens of thousands of archived CD-ROMs at the Internet Archive.In August we celebrated the 20th anniversary of the Live Music Archive with a historical tour of the effort, which has resulted in hundreds of thousands of live sets available for listening at archive.org. Donations Colgate University donated more than 1.5 million microfiche cards for preservation and digitization, covering topics including Census data, documents from the Department of Education, Congressional testimony, CIA documents, and foreign news translated into English.Facing an uncertain future, Hong Kong bookstore owner Albert Wan closed his pro-democracy, independent bookstore and donated the books to the Internet Archive for preservation and digitization.Do you have physical collections you’d like to donate to the Internet Archive? Check out our help document. Book talks The Copyright Wars with Peter BaldwinData Cartels with Sarah LamdanWalled Culture with Glyn MoodyThe History of the Computer with Rachel IgnotofskyHow We Give Now with Lucy BernholzThe Library: A Fragile History with Andrew Pettegree and Arthur der WeduwenThe Catalogue of Shipwrecked Books with Edward Wilson-LeeWHOLE EARTH: The Many Lives of Stewart Brand with John Markoff",https://blog.archive.org/2022/12/,True
36,36,What is the Democracy’s Library?,"Illustration created with MidJourney Democracies require an educated citizenry to flourish– and because of this, Democratic governments, at all levels, spend billions of dollars publishing reports, manuals, books, videos so that all can read and learn. That is the good news.  The bad news is that in our digital age, much of this is not accessible.   Democracy’s Library aims to change this.    The aim of the Internet Archive Democracy’s Library is to collect, preserve and make freely available all the published works of all the democracies– the federal, provincial, and municipal government publications– so that we can efficiently learn from each other to solve our biggest challenges in parallel and in concert. Democracy’s Library is the foundational information of free people. We call this “Democracy’s Library” because Democracy is an open system that trusts its citizens to learn, grow and have independent agency. Democratic governments publish openly because they want important information spread widely.  There are no paywalls to the works of government, or there shouldn’t be.  We need access to all the River reports so we can help understand and manage our declining clean water.   Access to Agricultural research to help farm more sustainably.  To Materials research to build better products and devices. To Local hearings on project results so other cities can overcome the same challenges.  To Training materials and text books for many professions.   All free– and in ways you can find them. Bringing free public access to the public domain is the opportunity of the Internet– an infrastructure that effectively costs nothing to distribute information that has been collected and organized. Yes, this will cost a small fortune– but it is within our grasp– to collect and organize billions of documents and datasets, preserve the materials for the ages and make them available for many purposes.  While scoping projects in the United States and Canada have now begun, we estimate this project will cost at least $100 million dollars. The big money has not been committed yet, and we’re still fundraising. But to get things kicked off, Filecoin Foundation (FF) and Filecoin Foundation for the Decentralized Web (FFDW), are supporting the project.  The Internet Archive has ramped up collecting government websites and datasets as well as digitizing print materials with many library partners. Thankfully, we do not have the rights and paywall problems that have been strangling the Internet’s best feature: an essentially free information distribution system.    Democracy’s Library can be a free public library available on your phone and your laptop.   Democracy’s Library will be the foundation of new services, both non-commercial and commercial, that leverages language understanding, machine learning, automatic translation, speech recognition, and visualizations. Democracies publish openly– let’s take advantage of this.  Leverage our library system to not just lease commercial publisher’s database products, but build open collections that everyone can use and reuse without limitation. Lets build direct conduits from governments into Democracy’s Library for long term preservation and access. A public-public partnership that long served us in the paper era, that took a pause in the mainframe era of commercial databases, can flourish again in the Internet era.   “Public Access to the Public Domain” can be a rallying cry for Democracy’s Library. Democracy’s Library can be a flowering of information services for free people. Please join in and help.   Jamie Joyce of the Internet Archive (jamiejoyce@archive.org) is leading the effort in the United States, Andrea Mills of the Internet Archive Canada ( andrea@archive.org ) is leading the Canadian effort.  The project is overseen by Brewster Kahle ( brewster@archive.org ).    If you’d like to stay connected, sign up for the #EmpoweringLibraries newsletter. Have ideas?  Have materials?  Have a use case?  Have resources to bring to bear?   This can only happen if we work together.   Let’s build Democracy’s Library, together.",https://blog.archive.org/2022/11/,True
41,41,"Digital Library of Amateur Radio & Communications Surpasses 25,000 Items","In the six weeks since announcing that Internet Archive has begun gathering content for the Digital Library of Amateur Radio and Communications (DLARC), the project has quickly grown to more than 25,000 items, including ham radio newsletters, podcasts, videos, books, and catalogs. The project seeks additional contributions of material for the free online library. You are welcome to explore the content currently in the library and watch the primary collection as it grows at https://archive.org/details/dlarc. The new material includes historical and modern newsletters from diverse amateur radio groups including the National Radio Club (of Aurora, CO); the Telford & District Amateur Radio Society, based in the United Kingdom; the Malta Amateur Radio League; and the South African Radio League. The Tri-State Amateur Radio Society contributed more than 200 items of historical correspondence, newspaper clippings, ham festival flyers, and newsletters. Other publications include Selvamar Noticias, a multilingual digital ham radio magazine; and Florida Skip, an amateur radio newspaper published from 1957 through 1994.The library also includes the complete run of 73 Magazine — more than 500 issues — which are freely and openly available.   More than 300 radio related books are available in DLARC via controlled digital lending. These materials may be checked out by anyone with a free Internet Archive account for a period of one hour to two weeks. Radio and communications books donated to Internet Archive are scanned and added to the DLARC lending library. Amateur radio podcasts and video channels are also among the first batch of material in the DLARC collection. These include Ham Nation, Foundations of Amateur Radio, the ICQ Amateur/Ham Radio Podcast, with many more to come. Providing a mirror and archive for “born digital” content such as video and podcasts is one of the core goals of DLARC. Additions to DLARC also include presentations recorded at radio communications conferences, including GRCon, the GNU Radio Conference; and the QSO Today Virtual Ham Expo. A growing reference library of past radio product catalogs includes catalogs from Ham Radio Outlet and C. Crane. DLARC is growing to be a massive online library of materials and collections related to amateur radio and early digital communications. It is funded by a significant grant from Amateur Radio Digital Communications (ARDC) to create a digital library that documents, preserves, and provides open access to the history of this community.  Anyone with material to contribute to the DLARC library, questions about the project, or interest in similar digital library building projects for other professional communities, please contact:  Kay Savetz, K6KJNProgram Manager, Special Collectionskay@archive.org Mastodon: dlarc@mastodon.radio",https://blog.archive.org/2022/11/,True
