,name,year,books_scanned
0,Allen County Public Library Geneaology Center,2002,4
1,Allen County Public Library Geneaology Center,2008,4255
2,Allen County Public Library Geneaology Center,2009,9908
3,Allen County Public Library Geneaology Center,2010,16870
4,Allen County Public Library Geneaology Center,2011,22833
5,Allen County Public Library Geneaology Center,2012,18969
6,Allen County Public Library Geneaology Center,2013,13186
7,Allen County Public Library Geneaology Center,2014,10299
8,Allen County Public Library Geneaology Center,2015,10993
9,Allen County Public Library Geneaology Center,2016,19071
10,Allen County Public Library Geneaology Center,2017,33700
11,Allen County Public Library Geneaology Center,2018,17296
12,Allen County Public Library Geneaology Center,2019,11618
13,Allen County Public Library Geneaology Center,2020,4055
14,Allen County Public Library Geneaology Center,2021,7021
15,Allen County Public Library Geneaology Center,2022,5856
16,Allen County Public Library Geneaology Center,2023,4976
17,American Museum of Natural History,2016,14
18,American Museum of Natural History,2017,15
19,American Numismatic Society,2015,92
20,American Numismatic Society,2016,3028
21,American Numismatic Society,2017,1753
22,American Numismatic Society,2018,1793
23,American Numismatic Society,2019,2037
24,American Numismatic Society,2020,1627
25,American Numismatic Society,2021,1646
26,American Numismatic Society,2022,2364
27,American Numismatic Society,2023,1213
28,American Printing House for the Blind,2015,201
29,American Printing House for the Blind,2016,696
30,American Printing House for the Blind,2017,906
31,American Printing House for the Blind,2018,120
32,American Printing House for the Blind,2019,392
33,American Printing House for the Blind,2021,2
34,American Printing House for the Blind,2022,7
35,American Printing House for the Blind,2023,1
36,Analysis and Policy Observatory (APO),2017,41
37,"BYU, Hawaii",2011,106
38,"BYU, Hawaii",2012,485
39,"BYU, Hawaii",2013,243
40,"BYU, Hawaii",2014,43
41,"BYU, Idaho Family History Library",2011,96
42,"BYU, Idaho Family History Library",2012,678
43,"BYU, Idaho Family History Library",2013,380
44,"BYU, Idaho Family History Library",2014,151
45,"BYU, Idaho Family History Library",2015,188
46,"BYU, Idaho Family History Library",2016,148
47,"BYU, Provo",2009,730
48,"BYU, Provo",2010,2913
49,"BYU, Provo",2011,6517
50,"BYU, Provo",2012,4041
51,"BYU, Provo",2013,5314
52,"BYU, Provo",2014,401
53,"BYU, Provo",2015,867
54,"BYU, Provo",2016,1509
55,"BYU, Provo",2017,1386
56,"BYU, Provo",2018,2558
57,"BYU, Provo",2019,1416
58,"BYU, Provo",2020,1197
59,"BYU, Provo",2021,693
60,"BYU, Provo",2022,1502
61,"BYU, Provo",2023,491
62,Boston Public Library,2007,3963
63,Boston Public Library,2008,30910
64,Boston Public Library,2009,28607
65,Boston Public Library,2010,19571
66,Boston Public Library,2011,21643
67,Boston Public Library,2012,18688
68,Boston Public Library,2013,20820
69,Boston Public Library,2014,13533
70,Boston Public Library,2015,11877
71,Boston Public Library,2016,12660
72,Boston Public Library,2017,8719
73,Boston Public Library,2018,8061
74,Boston Public Library,2019,9418
75,Boston Public Library,2020,4287
76,Boston Public Library,2021,8996
77,Boston Public Library,2022,23919
78,Boston Public Library,2023,4898
79,British Library,2013,92
80,British Library,2014,13416
81,British Library,2015,38817
82,British Library,2016,40466
83,British Library,2017,40468
84,British Library,2018,42375
85,British Library,2019,25441
86,British Library,2020,7842
87,British Library,2021,7543
88,British Library,2022,11652
89,British Library,2023,2262
90,Brown University,2010,1778
91,Brown University,2011,1891
92,Brown University,2012,692
93,Brown University,2013,1995
94,Brown University,2014,1492
95,Brown University,2015,881
96,Brown University,2016,785
97,Brown University,2017,2948
98,Brown University,2018,2002
99,Brown University,2019,2953
100,Brown University,2020,1062
101,Brown University,2021,261
102,Brown University,2022,631
103,Brown University,2023,328
104,California Acaddemy of Sciences,2015,4
105,California Acaddemy of Sciences,2016,1041
106,California Acaddemy of Sciences,2018,3
107,California State Library,2011,195
108,California State Library,2012,588
109,California State Library,2013,346
110,California State Library,2014,542
111,California State Library,2015,221
112,"Centre for Strategic and International Studies, Jakarta",2014,413
113,"Centre for Strategic and International Studies, Jakarta",2015,79
114,Church History Library,2009,301
115,Church History Library,2010,316
116,Church History Library,2011,2990
117,Church History Library,2012,8905
118,Church History Library,2013,252
119,Clatsop County Historical Society,2019,215
120,Clatsop County Historical Society,2020,334
121,Clatsop County Historical Society,2021,771
122,Clatsop County Historical Society,2022,491
123,Clatsop County Historical Society,2023,358
124,Clemson University,2012,4007
125,Clemson University,2013,3383
126,Clemson University,2014,2884
127,Columbia University,2002,17
128,Columbia University,2007,6826
