,name,year,books_scanned
1,Allen County Public Library Geneaology Center,2002,4
2,Allen County Public Library Geneaology Center,2008,4255
3,Allen County Public Library Geneaology Center,2009,9908
4,Allen County Public Library Geneaology Center,2010,16870
5,Allen County Public Library Geneaology Center,2011,22833
6,Allen County Public Library Geneaology Center,2012,18969
7,Allen County Public Library Geneaology Center,2013,13186
8,Allen County Public Library Geneaology Center,2014,10299
9,Allen County Public Library Geneaology Center,2015,10993
10,Allen County Public Library Geneaology Center,2016,19071
11,Allen County Public Library Geneaology Center,2017,33700
12,Allen County Public Library Geneaology Center,2018,17296
13,Allen County Public Library Geneaology Center,2019,11618
14,Allen County Public Library Geneaology Center,2020,4055
15,Allen County Public Library Geneaology Center,2021,7021
16,Allen County Public Library Geneaology Center,2022,5856
17,Allen County Public Library Geneaology Center,2023,4976
19,American Museum of Natural History,2016,14
20,American Museum of Natural History,2017,15
21,American Numismatic Society,2015,92
22,American Numismatic Society,2016,3028
23,American Numismatic Society,2017,1753
24,American Numismatic Society,2018,1793
25,American Numismatic Society,2019,2037
26,American Numismatic Society,2020,1627
27,American Numismatic Society,2021,1646
28,American Numismatic Society,2022,2364
29,American Numismatic Society,2023,1213
31,American Printing House for the Blind,2015,201
32,American Printing House for the Blind,2016,696
33,American Printing House for the Blind,2017,906
34,American Printing House for the Blind,2018,120
35,American Printing House for the Blind,2019,392
36,American Printing House for the Blind,2021,2
37,American Printing House for the Blind,2022,7
38,American Printing House for the Blind,2023,1
40,Analysis and Policy Observatory (APO),2017,41
41,"BYU, Hawaii",2011,106
42,"BYU, Hawaii",2012,485
43,"BYU, Hawaii",2013,243
44,"BYU, Hawaii",2014,43
46,"BYU, Idaho Family History Library",2011,96
47,"BYU, Idaho Family History Library",2012,678
48,"BYU, Idaho Family History Library",2013,380
49,"BYU, Idaho Family History Library",2014,151
50,"BYU, Idaho Family History Library",2015,188
51,"BYU, Idaho Family History Library",2016,148
53,"BYU, Provo",2009,730
54,"BYU, Provo",2010,2913
55,"BYU, Provo",2011,6517
56,"BYU, Provo",2012,4041
57,"BYU, Provo",2013,5314
58,"BYU, Provo",2014,401
59,"BYU, Provo",2015,867
60,"BYU, Provo",2016,1509
61,"BYU, Provo",2017,1386
62,"BYU, Provo",2018,2558
63,"BYU, Provo",2019,1416
64,"BYU, Provo",2020,1197
65,"BYU, Provo",2021,693
66,"BYU, Provo",2022,1502
67,"BYU, Provo",2023,491
70,Boston Public Library,2007,3963
71,Boston Public Library,2008,30910
72,Boston Public Library,2009,28607
73,Boston Public Library,2010,19571
74,Boston Public Library,2011,21643
75,Boston Public Library,2012,18688
76,Boston Public Library,2013,20820
77,Boston Public Library,2014,13533
78,Boston Public Library,2015,11877
79,Boston Public Library,2016,12660
80,Boston Public Library,2017,8719
81,Boston Public Library,2018,8061
82,Boston Public Library,2019,9418
83,Boston Public Library,2020,4287
84,Boston Public Library,2021,8996
85,Boston Public Library,2022,23919
86,Boston Public Library,2023,4898
88,British Library,2013,92
89,British Library,2014,13416
90,British Library,2015,38817
