,name,year,imagecount
98,Brown University,2010,181054.0
99,Brown University,2011,241975.0
100,Brown University,2012,205355.0
101,Brown University,2013,154675.0
102,Brown University,2014,282038.0
103,Brown University,2015,301713.0
104,Brown University,2016,249023.0
105,Brown University,2017,690658.0
106,Brown University,2018,669764.0
107,Brown University,2019,639070.0
108,Brown University,2020,132006.0
109,Brown University,2021,52565.0
110,Brown University,2022,97398.0
111,Brown University,2023,58676.0
