,name,year,imagecount
161,Duke University,2008,1082.0
162,Duke University,2009,170.0
163,Duke University,2010,310499.0
164,Duke University,2011,723075.0
165,Duke University,2012,471208.0
166,Duke University,2013,890175.0
167,Duke University,2014,826805.0
168,Duke University,2015,491464.0
169,Duke University,2016,381016.0
170,Duke University,2017,381688.0
171,Duke University,2018,326355.0
172,Duke University,2019,142605.0
173,Duke University,2020,104776.0
174,Duke University,2021,332872.0
175,Duke University,2022,439321.0
176,Duke University,2023,113955.0
