,name,year,imagecount
252,Internet Archive Sheridan Headquarters,2007,22130.0
253,Internet Archive Sheridan Headquarters,2008,146701.0
254,Internet Archive Sheridan Headquarters,2009,491611.0
255,Internet Archive Sheridan Headquarters,2017,27.0
256,Internet Archive Sheridan Headquarters,2018,84.0
257,Internet Archive Sheridan Headquarters,2019,272.0
258,Internet Archive Sheridan Headquarters,2020,130.0
259,Internet Archive Sheridan Headquarters,2021,505.0
260,Internet Archive Sheridan Headquarters,2022,962.0
261,Internet Archive Sheridan Headquarters,2023,276.0
