,name,year,imagecount
281,Library of Congress,2002,290.0
282,Library of Congress,2007,25225.0
283,Library of Congress,2008,5055589.0
284,Library of Congress,2009,8055227.0
285,Library of Congress,2010,6400367.0
286,Library of Congress,2011,7138268.0
287,Library of Congress,2012,8422033.0
288,Library of Congress,2013,3949870.0
289,Library of Congress,2014,3466878.0
290,Library of Congress,2015,1015372.0
291,Library of Congress,2016,1435258.0
292,Library of Congress,2017,1596232.0
293,Library of Congress,2018,1099865.0
294,Library of Congress,2019,1377524.0
295,Library of Congress,2020,359122.0
