,name,year,books_scanned
288,Library of Congress,2002,4
289,Library of Congress,2007,214
290,Library of Congress,2008,24648
291,Library of Congress,2009,41088
292,Library of Congress,2010,24776
293,Library of Congress,2011,29405
294,Library of Congress,2012,31816
295,Library of Congress,2013,15548
296,Library of Congress,2014,12176
297,Library of Congress,2015,7939
298,Library of Congress,2016,6278
299,Library of Congress,2017,6031
300,Library of Congress,2018,4786
301,Library of Congress,2019,5502
302,Library of Congress,2020,1557
