,name,year,imagecount
298,National Agricultural Library,2012,8828.0
299,National Agricultural Library,2013,1379911.0
300,National Agricultural Library,2014,1544693.0
301,National Agricultural Library,2015,1413184.0
302,National Agricultural Library,2016,1701268.0
303,National Agricultural Library,2017,1338577.0
304,National Agricultural Library,2018,1172103.0
305,National Agricultural Library,2019,1066144.0
306,National Agricultural Library,2020,496237.0
307,National Agricultural Library,2021,528728.0
308,National Agricultural Library,2022,457039.0
309,National Agricultural Library,2023,169752.0
