,name,year,books_scanned
305,National Agricultural Library,2012,104
306,National Agricultural Library,2013,31034
307,National Agricultural Library,2014,32456
308,National Agricultural Library,2015,28779
309,National Agricultural Library,2016,23116
310,National Agricultural Library,2017,30034
311,National Agricultural Library,2018,16654
312,National Agricultural Library,2019,12140
313,National Agricultural Library,2020,10791
314,National Agricultural Library,2021,12646
315,National Agricultural Library,2022,13584
316,National Agricultural Library,2023,5635
