,name,year,books_scanned
326,"Natural History Museum Library, London",2002,1
327,"Natural History Museum Library, London",2007,899
328,"Natural History Museum Library, London",2008,1510
329,"Natural History Museum Library, London",2009,1414
330,"Natural History Museum Library, London",2010,784
331,"Natural History Museum Library, London",2011,465
332,"Natural History Museum Library, London",2012,282
333,"Natural History Museum Library, London",2013,521
334,"Natural History Museum Library, London",2014,788
335,"Natural History Museum Library, London",2015,977
336,"Natural History Museum Library, London",2016,1033
337,"Natural History Museum Library, London",2017,413
338,"Natural History Museum Library, London",2018,706
339,"Natural History Museum Library, London",2019,579
340,"Natural History Museum Library, London",2020,272
341,"Natural History Museum Library, London",2022,106
