,name,year,books_scanned
371,Princeton University,2002,403
372,Princeton University,2008,9364
373,Princeton University,2009,8389
374,Princeton University,2010,10923
375,Princeton University,2011,17362
376,Princeton University,2012,22822
377,Princeton University,2013,18611
378,Princeton University,2014,21489
379,Princeton University,2015,26231
380,Princeton University,2016,15152
381,Princeton University,2017,10932
382,Princeton University,2018,12434
383,Princeton University,2019,5137
384,Princeton University,2020,2536
385,Princeton University,2021,2546
386,Princeton University,2022,5142
387,Princeton University,2023,2852
