,name,year,books_scanned
402,Smithsonian Libraries and Archives,2007,188
403,Smithsonian Libraries and Archives,2008,515
404,Smithsonian Libraries and Archives,2009,1723
405,Smithsonian Libraries and Archives,2010,858
406,Smithsonian Libraries and Archives,2011,665
407,Smithsonian Libraries and Archives,2012,2025
408,Smithsonian Libraries and Archives,2013,1618
409,Smithsonian Libraries and Archives,2014,1594
410,Smithsonian Libraries and Archives,2015,1494
411,Smithsonian Libraries and Archives,2016,1803
412,Smithsonian Libraries and Archives,2017,1668
413,Smithsonian Libraries and Archives,2018,1232
414,Smithsonian Libraries and Archives,2019,893
415,Smithsonian Libraries and Archives,2020,187
416,Smithsonian Libraries and Archives,2022,11
417,Smithsonian Libraries and Archives,2023,188
