,name,year,imagecount
409,State Library of Pennsylvania,2013,41375.0
410,State Library of Pennsylvania,2014,265248.0
411,State Library of Pennsylvania,2015,357766.0
412,State Library of Pennsylvania,2016,532046.0
413,State Library of Pennsylvania,2017,449054.0
414,State Library of Pennsylvania,2018,425907.0
415,State Library of Pennsylvania,2019,806927.0
416,State Library of Pennsylvania,2020,220704.0
417,State Library of Pennsylvania,2021,12576.0
418,State Library of Pennsylvania,2022,25948.0
419,State Library of Pennsylvania,2023,532.0
