,name,year,books_scanned
500,UNC Chapel Hill,2007,21
501,UNC Chapel Hill,2008,2280
502,UNC Chapel Hill,2009,3103
503,UNC Chapel Hill,2010,3624
504,UNC Chapel Hill,2011,6689
505,UNC Chapel Hill,2012,9376
506,UNC Chapel Hill,2013,6692
507,UNC Chapel Hill,2014,7771
508,UNC Chapel Hill,2015,2473
509,UNC Chapel Hill,2017,2
510,UNC Chapel Hill,2018,2554
511,UNC Chapel Hill,2019,4164
512,UNC Chapel Hill,2020,2376
513,UNC Chapel Hill,2021,2702
514,UNC Chapel Hill,2022,2339
515,UNC Chapel Hill,2023,2783
