,name,year,imagecount
500,Universidad Francisco Marroquín,2008,6938.0
501,Universidad Francisco Marroquín,2009,44448.0
502,Universidad Francisco Marroquín,2010,23168.0
503,Universidad Francisco Marroquín,2011,55962.0
504,Universidad Francisco Marroquín,2012,9426.0
505,Universidad Francisco Marroquín,2013,37015.0
506,Universidad Francisco Marroquín,2014,14154.0
507,Universidad Francisco Marroquín,2015,20904.0
508,Universidad Francisco Marroquín,2016,78153.0
509,Universidad Francisco Marroquín,2017,39109.0
510,Universidad Francisco Marroquín,2018,26427.0
511,Universidad Francisco Marroquín,2019,2517.0
512,Universidad Francisco Marroquín,2020,10764.0
513,Universidad Francisco Marroquín,2021,21360.0
514,Universidad Francisco Marroquín,2022,44560.0
515,Universidad Francisco Marroquín,2023,13184.0
