,name,year,books_scanned
517,Universidad Francisco Marroquín,2008,26
518,Universidad Francisco Marroquín,2009,286
519,Universidad Francisco Marroquín,2010,64
520,Universidad Francisco Marroquín,2011,376
521,Universidad Francisco Marroquín,2012,123
522,Universidad Francisco Marroquín,2013,503
523,Universidad Francisco Marroquín,2014,181
524,Universidad Francisco Marroquín,2015,466
525,Universidad Francisco Marroquín,2016,226
526,Universidad Francisco Marroquín,2017,152
527,Universidad Francisco Marroquín,2018,435
528,Universidad Francisco Marroquín,2019,51
529,Universidad Francisco Marroquín,2020,126
530,Universidad Francisco Marroquín,2021,263
531,Universidad Francisco Marroquín,2022,541
532,Universidad Francisco Marroquín,2023,222
