,name,year,imagecount
555,University of Toronto,2002,96.0
556,University of Toronto,2006,9316496.0
557,University of Toronto,2007,21678656.0
558,University of Toronto,2008,31167960.0
559,University of Toronto,2009,22156803.0
560,University of Toronto,2010,22627024.0
561,University of Toronto,2011,16687365.0
562,University of Toronto,2012,4552145.0
563,University of Toronto,2013,5275335.0
564,University of Toronto,2014,4779027.0
565,University of Toronto,2015,2357704.0
566,University of Toronto,2016,992779.0
567,University of Toronto,2017,965158.0
568,University of Toronto,2018,1410697.0
569,University of Toronto,2019,1303897.0
570,University of Toronto,2020,319863.0
571,University of Toronto,2021,309876.0
572,University of Toronto,2022,5700253.0
573,University of Toronto,2023,3436444.0
