,name,year,books_scanned
574,University of Toronto,2002,1
575,University of Toronto,2006,25753
576,University of Toronto,2007,55018
577,University of Toronto,2008,74589
578,University of Toronto,2009,56225
579,University of Toronto,2010,60408
580,University of Toronto,2011,38712
581,University of Toronto,2012,16109
582,University of Toronto,2013,23435
583,University of Toronto,2014,22757
584,University of Toronto,2015,11242
585,University of Toronto,2016,7875
586,University of Toronto,2017,5612
587,University of Toronto,2018,11079
588,University of Toronto,2019,6540
589,University of Toronto,2020,2732
590,University of Toronto,2021,1787
591,University of Toronto,2022,24247
592,University of Toronto,2023,12671
