,scan_center,lat,long,name,center_visuals_path,data_repo_link,object_location
0,cebu,10.31803327,123.9205454,"Innodata Knowledge Services, Inc.",innodata_knowledge_services_inc,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/innodata_knowledge_services_inc/
1,hongkong,22.31836625,114.181248,Hong Kong,hong_kong,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/hong_kong/
2,alberta,53.52319337,-113.5271984,University of Alberta,university_of_alberta,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/university_of_alberta/
3,sfdowntown,37.78244229,-122.4717902,Internet Archive Headquarters,internet_archive_headquarters,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/internet_archive_headquarters/
4,shenzhen,113.9856083,"22.598147246440938,",Datum Data Co. Ltd.,datum_data_co_ltd,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/datum_data_co_ltd/
5,sanfrancisco,37.78244229,-122.4717902,Internet Archive Headquarters,internet_archive_headquarters,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/internet_archive_headquarters/
6,uoft,43.66312452,-79.3955813,University of Toronto,university_of_toronto,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/university_of_toronto/
7,indiana,41.07773159,-85.14224798,Allen County Public Library Geneaology Center,allen_county_public_library_geneaology_center,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/allen_county_public_library_geneaology_center/
8,euston,51.528702,-0.12761,British Library,british_library,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/british_library/
9,la,"34.071863589276, -118.45416814232854",-118.2538418,UCLA,ucla,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/ucla/
10,nj,40.34604013,-74.66685643,Princeton University,princeton_university,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/princeton_university/
11,boston,42.34936189,-71.07819992,Boston Public Library,boston_public_library,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/boston_public_library/
12,beltsville,39.02352526,-76.9216014,National Agricultural Library,national_agricultural_library,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/national_agricultural_library/
13,capitolhill,38.8895692,-77.0045688,Library of Congress,library_of_congress,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/library_of_congress/
14,nyc,40.80657713,-73.96320572,Columbia University,columbia_university,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/columbia_university/
