,name,year,imagecount
1,Allen County Public Library Geneaology Center,2002,1366.0
2,Allen County Public Library Geneaology Center,2008,1933243.0
3,Allen County Public Library Geneaology Center,2009,3488177.0
4,Allen County Public Library Geneaology Center,2010,3919992.0
5,Allen County Public Library Geneaology Center,2011,4564108.0
6,Allen County Public Library Geneaology Center,2012,3932517.0
7,Allen County Public Library Geneaology Center,2013,4293071.0
8,Allen County Public Library Geneaology Center,2014,2483610.0
9,Allen County Public Library Geneaology Center,2015,2717033.0
10,Allen County Public Library Geneaology Center,2016,2653693.0
11,Allen County Public Library Geneaology Center,2017,2207077.0
12,Allen County Public Library Geneaology Center,2018,2967708.0
13,Allen County Public Library Geneaology Center,2019,2513923.0
14,Allen County Public Library Geneaology Center,2020,489253.0
15,Allen County Public Library Geneaology Center,2021,1259422.0
16,Allen County Public Library Geneaology Center,2022,1453374.0
17,Allen County Public Library Geneaology Center,2023,918885.0
