,name,year,books_scanned
1,Allen County Public Library Geneaology Center,2002,4
2,Allen County Public Library Geneaology Center,2008,4255
3,Allen County Public Library Geneaology Center,2009,9908
4,Allen County Public Library Geneaology Center,2010,16870
5,Allen County Public Library Geneaology Center,2011,22833
6,Allen County Public Library Geneaology Center,2012,18969
7,Allen County Public Library Geneaology Center,2013,13186
8,Allen County Public Library Geneaology Center,2014,10299
9,Allen County Public Library Geneaology Center,2015,10993
10,Allen County Public Library Geneaology Center,2016,19071
11,Allen County Public Library Geneaology Center,2017,33700
12,Allen County Public Library Geneaology Center,2018,17296
13,Allen County Public Library Geneaology Center,2019,11618
14,Allen County Public Library Geneaology Center,2020,4055
15,Allen County Public Library Geneaology Center,2021,7021
16,Allen County Public Library Geneaology Center,2022,5856
17,Allen County Public Library Geneaology Center,2023,4976
