,name,year,imagecount
68,Boston Public Library,2007,1664693.0
69,Boston Public Library,2008,10688652.0
70,Boston Public Library,2009,8960166.0
71,Boston Public Library,2010,4418560.0
72,Boston Public Library,2011,5613958.0
73,Boston Public Library,2012,4061930.0
74,Boston Public Library,2013,3650760.0
75,Boston Public Library,2014,2704615.0
76,Boston Public Library,2015,2340521.0
77,Boston Public Library,2016,2373323.0
78,Boston Public Library,2017,1981435.0
79,Boston Public Library,2018,1749732.0
80,Boston Public Library,2019,1767157.0
81,Boston Public Library,2020,1031507.0
82,Boston Public Library,2021,1704670.0
83,Boston Public Library,2022,2370215.0
84,Boston Public Library,2023,1014462.0
