,name,year,books_scanned
70,Boston Public Library,2007,3963
71,Boston Public Library,2008,30910
72,Boston Public Library,2009,28607
73,Boston Public Library,2010,19571
74,Boston Public Library,2011,21643
75,Boston Public Library,2012,18688
76,Boston Public Library,2013,20820
77,Boston Public Library,2014,13533
78,Boston Public Library,2015,11877
79,Boston Public Library,2016,12660
80,Boston Public Library,2017,8719
81,Boston Public Library,2018,8061
82,Boston Public Library,2019,9418
83,Boston Public Library,2020,4287
84,Boston Public Library,2021,8996
85,Boston Public Library,2022,23919
86,Boston Public Library,2023,4898
