,name,year,imagecount
146,Datum Data Co. Ltd.,2009,940.0
147,Datum Data Co. Ltd.,2010,1506119.0
148,Datum Data Co. Ltd.,2011,34429269.0
149,Datum Data Co. Ltd.,2012,56664258.0
150,Datum Data Co. Ltd.,2013,6727070.0
151,Datum Data Co. Ltd.,2014,7373392.0
152,Datum Data Co. Ltd.,2015,7798776.0
153,Datum Data Co. Ltd.,2016,1561587.0
154,Datum Data Co. Ltd.,2017,5388.0
155,Datum Data Co. Ltd.,2019,5068428.0
156,Datum Data Co. Ltd.,2020,7252374.0
157,Datum Data Co. Ltd.,2021,4792488.0
158,Datum Data Co. Ltd.,2022,5988552.0
159,Datum Data Co. Ltd.,2023,334330.0
