,name,year,imagecount
198,Getty Research Institute Valencia Warehouse,2013,406082.0
199,Getty Research Institute Valencia Warehouse,2014,1074546.0
200,Getty Research Institute Valencia Warehouse,2015,1351203.0
201,Getty Research Institute Valencia Warehouse,2016,1776551.0
202,Getty Research Institute Valencia Warehouse,2017,1179249.0
203,Getty Research Institute Valencia Warehouse,2018,839086.0
204,Getty Research Institute Valencia Warehouse,2019,875707.0
205,Getty Research Institute Valencia Warehouse,2020,161075.0
206,Getty Research Institute Valencia Warehouse,2021,73648.0
207,Getty Research Institute Valencia Warehouse,2022,336537.0
208,Getty Research Institute Valencia Warehouse,2023,177508.0
