,name,year,books_scanned
203,Getty Research Institute Valencia Warehouse,2013,1298
204,Getty Research Institute Valencia Warehouse,2014,3399
205,Getty Research Institute Valencia Warehouse,2015,4481
206,Getty Research Institute Valencia Warehouse,2016,6021
207,Getty Research Institute Valencia Warehouse,2017,2177
208,Getty Research Institute Valencia Warehouse,2018,2112
209,Getty Research Institute Valencia Warehouse,2019,2814
210,Getty Research Institute Valencia Warehouse,2020,411
211,Getty Research Institute Valencia Warehouse,2021,179
212,Getty Research Institute Valencia Warehouse,2022,981
213,Getty Research Institute Valencia Warehouse,2023,466
