,name,year,imagecount
263,Internt Archive Physical Archive,2006,8668205.0
264,Internt Archive Physical Archive,2007,12546187.0
265,Internt Archive Physical Archive,2008,8035642.0
266,Internt Archive Physical Archive,2009,3301681.0
267,Internt Archive Physical Archive,2010,790.0
268,Internt Archive Physical Archive,2011,182.0
269,Internt Archive Physical Archive,2012,146475.0
270,Internt Archive Physical Archive,2013,19064.0
271,Internt Archive Physical Archive,2014,267939.0
272,Internt Archive Physical Archive,2015,17612.0
273,Internt Archive Physical Archive,2016,109406.0
274,Internt Archive Physical Archive,2017,992.0
