,name,year,books_scanned
270,Internt Archive Physical Archive,2006,25902
271,Internt Archive Physical Archive,2007,45076
272,Internt Archive Physical Archive,2008,30186
273,Internt Archive Physical Archive,2009,12978
274,Internt Archive Physical Archive,2010,2
275,Internt Archive Physical Archive,2011,1
276,Internt Archive Physical Archive,2012,680
277,Internt Archive Physical Archive,2013,64
278,Internt Archive Physical Archive,2014,851
279,Internt Archive Physical Archive,2015,54
280,Internt Archive Physical Archive,2016,146
281,Internt Archive Physical Archive,2017,4
