,name,year,imagecount
319,"Natural History Museum Library, London",2002,482.0
320,"Natural History Museum Library, London",2007,472475.0
321,"Natural History Museum Library, London",2008,884828.0
322,"Natural History Museum Library, London",2009,799903.0
323,"Natural History Museum Library, London",2010,342062.0
324,"Natural History Museum Library, London",2011,257209.0
325,"Natural History Museum Library, London",2012,87014.0
326,"Natural History Museum Library, London",2013,188925.0
327,"Natural History Museum Library, London",2014,267736.0
328,"Natural History Museum Library, London",2015,361528.0
329,"Natural History Museum Library, London",2016,328072.0
330,"Natural History Museum Library, London",2017,159837.0
331,"Natural History Museum Library, London",2018,151398.0
332,"Natural History Museum Library, London",2019,155050.0
333,"Natural History Museum Library, London",2020,73732.0
334,"Natural History Museum Library, London",2022,32154.0
