,name,year,imagecount
390,Smithsonian Libraries and Archives,2007,78911.0
391,Smithsonian Libraries and Archives,2008,162694.0
392,Smithsonian Libraries and Archives,2009,499436.0
393,Smithsonian Libraries and Archives,2010,343946.0
394,Smithsonian Libraries and Archives,2011,227034.0
395,Smithsonian Libraries and Archives,2012,630287.0
396,Smithsonian Libraries and Archives,2013,525505.0
397,Smithsonian Libraries and Archives,2014,711781.0
398,Smithsonian Libraries and Archives,2015,569171.0
399,Smithsonian Libraries and Archives,2016,617884.0
400,Smithsonian Libraries and Archives,2017,516646.0
401,Smithsonian Libraries and Archives,2018,405208.0
402,Smithsonian Libraries and Archives,2019,406869.0
403,Smithsonian Libraries and Archives,2020,79785.0
404,Smithsonian Libraries and Archives,2022,3782.0
405,Smithsonian Libraries and Archives,2023,90828.0
