,name,year,imagecount
483,UNC Chapel Hill,2007,1858.0
484,UNC Chapel Hill,2008,402220.0
485,UNC Chapel Hill,2009,483236.0
486,UNC Chapel Hill,2010,883158.0
487,UNC Chapel Hill,2011,1329522.0
488,UNC Chapel Hill,2012,1847253.0
489,UNC Chapel Hill,2013,1194787.0
490,UNC Chapel Hill,2014,1125552.0
491,UNC Chapel Hill,2015,289346.0
492,UNC Chapel Hill,2017,7.0
493,UNC Chapel Hill,2018,273335.0
494,UNC Chapel Hill,2019,397378.0
495,UNC Chapel Hill,2020,190737.0
496,UNC Chapel Hill,2021,393734.0
497,UNC Chapel Hill,2022,236524.0
498,UNC Chapel Hill,2023,175866.0
