,name,year,imagecount
517,University of Alberta,2008,209806.0
518,University of Alberta,2009,3029646.0
519,University of Alberta,2010,2877679.0
520,University of Alberta,2011,2041034.0
521,University of Alberta,2012,2392335.0
522,University of Alberta,2013,1743349.0
523,University of Alberta,2014,170975.0
524,University of Alberta,2015,434322.0
525,University of Alberta,2016,876280.0
526,University of Alberta,2017,767744.0
527,University of Alberta,2018,662614.0
528,University of Alberta,2019,1726614.0
529,University of Alberta,2020,839560.0
530,University of Alberta,2021,387829.0
531,University of Alberta,2022,656730.0
532,University of Alberta,2023,441789.0
