,name,year,books_scanned
534,University of Alberta,2008,1465
535,University of Alberta,2009,19852
536,University of Alberta,2010,12512
537,University of Alberta,2011,12372
538,University of Alberta,2012,19607
539,University of Alberta,2013,11361
540,University of Alberta,2014,1517
541,University of Alberta,2015,4444
542,University of Alberta,2016,6800
543,University of Alberta,2017,5802
544,University of Alberta,2018,3189
545,University of Alberta,2019,6893
546,University of Alberta,2020,2958
547,University of Alberta,2021,1929
548,University of Alberta,2022,5987
549,University of Alberta,2023,4392
