,Unnamed: 0,name,total_scans,percent_of_total,lat,long
0,0,1 Dollar Scan,20,0.0002214984%,37.27838889,-121.9492601
1,1,Allen County Public Library Geneaology Center,214706,2.3778514038%,41.0771285,-85.1432003
2,2,American Museum of Natural History,29,0.0003211726%,40.78130431,-73.97404878
3,4,American Printing House for the Blind,2326,0.0257602599%,38.25759766,-85.71422071
4,5,Analysis and Policy Observatory (APO),41,0.0004540716%,-37.82242623,145.0393157
5,6,"BYU, Hawaii",884,0.0097902278%,21.64181757,-157.9265819
6,7,"BYU, Idaho Family History Library",1655,0.0183289898%,43.81949648,-111.7827966
7,8,"BYU, Provo",40698,0.4507270241%,40.24883196,-111.6492385
8,9,BookScanUS,42,0.0004651466%,32.23962014,-110.9556127
9,10,Boston Public Library,256899,2.8451354307%,42.34936189,-71.07819992
10,11,British Library,230566,2.5534996077%,51.53000987,-0.1275571138
11,12,Brown University,19711,0.2182977142%,41.82567677,-71.40513051
12,14,California State Library,1893,0.0209648203%,38.57589327,-121.4962643
13,15,"Centre for Strategic and International Studies, Jakarta",492,0.0054488598%,-6.177154589,106.8164464
14,16,Church History Library,15954,0.1766892462%,40.77200728,-111.8906814
15,17,Clatsop County Historical Society,2171,0.0240436476%,46.1884006,-123.8253618
16,18,Clemson University,10410,0.1152898993%,34.67661443,-82.8364096
17,19,Columbia University,62910,0.6967231089%,40.80657713,-73.96320572
18,20,Datum Data Co. Ltd.,482936,5.3484767336%,22.50635114,114.0501618
19,21,Duke University,21850,0.2419869644%,36.00294192,-78.93834083
20,22,Family Search Library,803,0.0088931594%,40.77037084,-111.8945972
21,23,Georgetown University,218,0.0024143322%,38.90659981,-77.07223903
22,24,Getty Research Institute,195,0.0021596091%,34.0769306,-118.4754969
23,25,Getty Research Institute Valencia Warehouse,24347,0.2696410353%,34.0769306,-118.4754969
24,26,Hamilton Public Library,201,0.0022260586%,43.25893488,-79.87052526
25,27,Harvard,944,0.0104547229%,42.37357506,-71.11649816
26,29,Hopewell Junction,24,0.0002657980%,41.58494026,-73.8016634
27,30,"Innodata Knowledge Services, Inc.",5440127,60.2489619479%,10.31810777,123.9197947
28,31,International Institute of Information Technology Hyderabad,8322,0.0921654699%,17.44586255,78.34932817
29,32,Internet Archive Headquarters,67735,0.7501595896%,37.78244229,-122.4717902
30,32,Internet Archive Headquarters,67735,0.7501595896%,37.80039616,-122.4603638
31,33,Internet Archive Sheridan Headquarters,2423,0.0268345270%,39.3290796,-122.4603688
32,33,Internet Archive Sheridan Headquarters,2423,0.0268345270%,39.32729316,-122.4603688
33,34,Internt Archive Physical Archive,116251,1.2874703248%,37.92940204,-122.3459016
34,35,John Hopkins University Library Offsite Storage,4963,0.0549648194%,39.20608234,-76.94551344
35,36,Library of Congress,212004,2.3479269746%,38.88870235,-77.00481291
