,name,month_year,books_scanned,operator,pages_scanned,scans_to_workers,pages_to_workers
0,Allen County Public Library Geneaology Center,2002-01,4,3,1366.0,1.3333333333333333,455.3333333333333
1,Allen County Public Library Geneaology Center,2008-05,78,11,37763.0,7.090909090909091,3433.0
2,Allen County Public Library Geneaology Center,2008-06,583,21,240186.0,27.761904761904763,11437.42857142857
3,Allen County Public Library Geneaology Center,2008-07,664,22,274770.0,30.181818181818183,12489.545454545454
4,Allen County Public Library Geneaology Center,2008-08,641,21,257029.0,30.523809523809526,12239.47619047619
5,Allen County Public Library Geneaology Center,2008-09,720,21,276814.0,34.285714285714285,13181.619047619048
6,Allen County Public Library Geneaology Center,2008-10,563,23,293307.0,24.47826086956522,12752.478260869566
7,Allen County Public Library Geneaology Center,2008-11,453,18,316614.0,25.166666666666668,17589.666666666668
8,Allen County Public Library Geneaology Center,2008-12,553,17,236760.0,32.529411764705884,13927.058823529413
9,Allen County Public Library Geneaology Center,2009-01,687,20,253651.0,34.35,12682.55
10,Allen County Public Library Geneaology Center,2009-02,632,19,223912.0,33.26315789473684,11784.842105263158
11,Allen County Public Library Geneaology Center,2009-03,870,22,295837.0,39.54545454545455,13447.136363636364
12,Allen County Public Library Geneaology Center,2009-04,950,22,340152.0,43.18181818181818,15461.454545454546
13,Allen County Public Library Geneaology Center,2009-05,834,20,306763.0,41.7,15338.15
14,Allen County Public Library Geneaology Center,2009-06,922,23,346035.0,40.08695652173913,15045.0
15,Allen County Public Library Geneaology Center,2009-07,986,22,312160.0,44.81818181818182,14189.09090909091
16,Allen County Public Library Geneaology Center,2009-08,779,21,295241.0,37.095238095238095,14059.095238095239
17,Allen County Public Library Geneaology Center,2009-09,818,21,321005.0,38.95238095238095,15285.952380952382
18,Allen County Public Library Geneaology Center,2009-10,1021,22,283038.0,46.40909090909091,12865.363636363636
19,Allen County Public Library Geneaology Center,2009-11,694,20,312924.0,34.7,15646.2
20,Allen County Public Library Geneaology Center,2009-12,715,17,197459.0,42.05882352941177,11615.235294117647
21,Allen County Public Library Geneaology Center,2010-01,918,20,297357.0,45.9,14867.85
22,Allen County Public Library Geneaology Center,2010-02,1032,19,277400.0,54.31578947368421,14600.0
23,Allen County Public Library Geneaology Center,2010-03,1084,23,345141.0,47.130434782608695,15006.130434782608
