,month_year,center_type,index,name,books_scanned
0,2001-12,academic,3670,UIUC,3
1,2002-01,academic,8423,Columbia UniversityPrinceton UniversityUniversity of Toronto,96
2,2002-01,government,2157,Library of Congress,4
3,2002-01,museum,2496,"Natural History Museum Library, London",1
4,2002-01,public,0,Allen County Public Library Geneaology Center,4
5,2002-02,academic,2788,Princeton University,117
6,2002-03,academic,2789,Princeton University,147
7,2002-04,academic,2790,Princeton University,61
8,2006-03,hq,4023,Internet Archive HeadquartersInternt Archive Physical Archive,252
9,2006-04,hq,4025,Internet Archive HeadquartersInternt Archive Physical Archive,1439
10,2006-05,academic,4410,University of Toronto,1098
11,2006-05,hq,4027,Internet Archive HeadquartersInternt Archive Physical Archive,2769
12,2006-06,academic,4411,University of Toronto,2345
13,2006-06,hq,2062,Internt Archive Physical Archive,2973
14,2006-07,academic,7894,UCLAUniversity of Toronto,3123
15,2006-07,hq,2063,Internt Archive Physical Archive,2910
16,2006-08,academic,7896,UCLAUniversity of Toronto,3676
17,2006-08,hq,4031,Internet Archive HeadquartersInternt Archive Physical Archive,2420
18,2006-09,academic,7898,UCLAUniversity of Toronto,5779
19,2006-09,hq,2065,Internt Archive Physical Archive,3074
20,2006-10,academic,7900,UCLAUniversity of Toronto,6743
21,2006-10,hq,2066,Internt Archive Physical Archive,3401
22,2006-11,academic,7902,UCLAUniversity of Toronto,8335
23,2006-11,hq,4035,Internet Archive HeadquartersInternt Archive Physical Archive,3580
24,2006-12,academic,7904,UCLAUniversity of Toronto,6008
25,2006-12,hq,4037,Internet Archive HeadquartersInternt Archive Physical Archive,3027
26,2007-01,academic,9134,Columbia UniversityUCLAUniversity of Toronto,7741
27,2007-01,government,2158,Library of Congress,197
28,2007-01,hq,4039,Internet Archive HeadquartersInternt Archive Physical Archive,4044
29,2007-01,public,596,Boston Public Library,46
30,2007-02,academic,11579,UCLAUIUCUniversity of Toronto,7825
31,2007-02,hq,2070,Internt Archive Physical Archive,3432
32,2007-03,academic,11582,UCLAUIUCUniversity of Toronto,9069
33,2007-03,hq,2071,Internt Archive Physical Archive,3522
34,2007-03,museum,2497,"Natural History Museum Library, London",32
35,2007-04,academic,11585,UCLAUIUCUniversity of Toronto,7458
36,2007-04,hq,6050,Internet Archive HeadquartersInternet Archive Sheridan HeadquartersInternt Archive Physical Archive,2690
37,2007-04,museum,2498,"Natural History Museum Library, London",116
38,2007-04,public,597,Boston Public Library,19
39,2007-05,academic,11588,UCLAUIUCUniversity of Toronto,7977
40,2007-05,hq,4045,Internet Archive HeadquartersInternt Archive Physical Archive,4721
41,2007-05,museum,2499,"Natural History Museum Library, London",74
42,2007-05,public,598,Boston Public Library,73
43,2007-06,academic,12820,Columbia UniversityUCLAUIUCUniversity of Toronto,8566
44,2007-06,hq,4047,Internet Archive HeadquartersInternt Archive Physical Archive,3752
45,2007-06,museum,2500,"Natural History Museum Library, London",97
46,2007-06,public,599,Boston Public Library,90
47,2007-07,academic,12824,Columbia UniversityUCLAUIUCUniversity of Toronto,9036
48,2007-07,hq,4049,Internet Archive HeadquartersInternt Archive Physical Archive,3865
49,2007-07,museum,2501,"Natural History Museum Library, London",110
50,2007-07,public,600,Boston Public Library,151
51,2007-08,academic,12828,Columbia UniversityUCLAUIUCUniversity of Toronto,10604
52,2007-08,government,3052,Smithsonian Libraries and Archives,20
53,2007-08,hq,4084,Internet Archive Sheridan HeadquartersInternt Archive Physical Archive,4298
54,2007-08,museum,2502,"Natural History Museum Library, London",110
55,2007-08,public,601,Boston Public Library,212
56,2007-09,academic,12832,Columbia UniversityUCLAUIUCUniversity of Toronto,8781
57,2007-09,government,3053,Smithsonian Libraries and Archives,39
58,2007-09,hq,4052,Internet Archive HeadquartersInternt Archive Physical Archive,4394
59,2007-09,museum,2503,"Natural History Museum Library, London",97
60,2007-09,public,602,Boston Public Library,383
61,2007-10,academic,12836,Columbia UniversityUCLAUIUCUniversity of Toronto,10996
62,2007-10,government,3054,Smithsonian Libraries and Archives,54
63,2007-10,hq,6063,Internet Archive HeadquartersInternet Archive Sheridan HeadquartersInternt Archive Physical Archive,4654
64,2007-10,museum,2504,"Natural History Museum Library, London",120
65,2007-10,public,603,Boston Public Library,1060
66,2007-11,academic,17184,"Columbia UniversityUCLAUIUCUniversity of Maryland, College ParkUniversity of Toronto",10719
67,2007-11,government,5214,Library of CongressSmithsonian Libraries and Archives,73
68,2007-11,hq,4056,Internet Archive HeadquartersInternt Archive Physical Archive,3242
69,2007-11,museum,2505,"Natural History Museum Library, London",110
70,2007-11,public,604,Boston Public Library,1105
71,2007-12,academic,21056,"Columbia UniversityUCLAUIUCUNC Chapel HillUniversity of Maryland, College ParkUniversity of Toronto",9298
72,2007-12,government,3056,Smithsonian Libraries and Archives,19
73,2007-12,hq,4090,Internet Archive Sheridan HeadquartersInternt Archive Physical Archive,2484
74,2007-12,museum,2506,"Natural History Museum Library, London",33
75,2007-12,public,605,Boston Public Library,824
76,2008-01,academic,23721,"Columbia UniversityNorth Carolina State UniversityUCLAUIUCUNC Chapel HillUniversity of Maryland, College ParkUniversity of Toronto",12166
77,2008-01,government,3057,Smithsonian Libraries and Archives,32
78,2008-01,hq,4059,Internet Archive HeadquartersInternt Archive Physical Archive,2859
79,2008-01,museum,2507,"Natural History Museum Library, London",25
80,2008-01,public,606,Boston Public Library,1951
81,2008-02,academic,23728,"Columbia UniversityNorth Carolina State UniversityUCLAUIUCUNC Chapel HillUniversity of Maryland, College ParkUniversity of Toronto",14448
82,2008-02,government,3058,Smithsonian Libraries and Archives,5
83,2008-02,hq,2082,Internt Archive Physical Archive,2971
84,2008-02,museum,2508,"Natural History Museum Library, London",86
85,2008-02,public,607,Boston Public Library,2844
86,2008-03,academic,26526,"Columbia UniversityNorth Carolina State UniversityPrinceton UniversityUCLAUIUCUNC Chapel HillUniversity of Maryland, College ParkUniversity of Toronto",13873
87,2008-03,government,5219,Library of CongressSmithsonian Libraries and Archives,226
88,2008-03,hq,4094,Internet Archive Sheridan HeadquartersInternt Archive Physical Archive,3750
89,2008-03,museum,2509,"Natural History Museum Library, London",75
90,2008-03,public,608,Boston Public Library,2475
91,2008-04,academic,26534,"Columbia UniversityNorth Carolina State UniversityPrinceton UniversityUCLAUIUCUNC Chapel HillUniversity of Maryland, College ParkUniversity of Toronto",13192
92,2008-04,government,5221,Library of CongressSmithsonian Libraries and Archives,1268
93,2008-04,hq,4096,Internet Archive Sheridan HeadquartersInternt Archive Physical Archive,2563
94,2008-04,museum,2510,"Natural History Museum Library, London",146
95,2008-04,public,609,Boston Public Library,2308
96,2008-05,academic,26542,"Columbia UniversityNorth Carolina State UniversityPrinceton UniversityUCLAUIUCUNC Chapel HillUniversity of Maryland, College ParkUniversity of Toronto",13830
97,2008-05,government,5223,Library of CongressSmithsonian Libraries and Archives,3627
98,2008-05,hq,2085,Internt Archive Physical Archive,2919
99,2008-05,museum,2511,"Natural History Museum Library, London",131
100,2008-05,public,611,Allen County Public Library Geneaology CenterBoston Public Library,2578
101,2008-06,academic,26550,"Columbia UniversityNorth Carolina State UniversityPrinceton UniversityUCLAUIUCUNC Chapel HillUniversity of Maryland, College ParkUniversity of Toronto",14118
102,2008-06,government,5225,Library of CongressSmithsonian Libraries and Archives,4877
103,2008-06,hq,2086,Internt Archive Physical Archive,2587
104,2008-06,museum,2512,"Natural History Museum Library, London",170
105,2008-06,public,613,Allen County Public Library Geneaology CenterBoston Public Library,2962
106,2008-07,academic,26558,"Columbia UniversityNorth Carolina State UniversityPrinceton UniversityUCLAUIUCUNC Chapel HillUniversity of Maryland, College ParkUniversity of Toronto",13989
107,2008-07,government,5227,Library of CongressSmithsonian Libraries and Archives,3946
108,2008-07,hq,4100,Internet Archive Sheridan HeadquartersInternt Archive Physical Archive,2517
109,2008-07,museum,2513,"Natural History Museum Library, London",146
110,2008-07,public,615,Allen County Public Library Geneaology CenterBoston Public Library,3599
111,2008-08,academic,28995,"Columbia UniversityNational Library of ScotlandNorth Carolina State UniversityPrinceton UniversityUCLAUIUCUNC Chapel HillUniversity of Maryland, College ParkUniversity of Toronto",14931
112,2008-08,government,5229,Library of CongressSmithsonian Libraries and Archives,2825
113,2008-08,hq,2088,Internt Archive Physical Archive,2623
114,2008-08,museum,2514,"Natural History Museum Library, London",112
115,2008-08,public,617,Allen County Public Library Geneaology CenterBoston Public Library,3555
116,2008-09,academic,29004,"Columbia UniversityNational Library of ScotlandNorth Carolina State UniversityPrinceton UniversityUCLAUIUCUNC Chapel HillUniversity of Maryland, College ParkUniversity of Toronto",16276
117,2008-09,government,5231,Library of CongressSmithsonian Libraries and Archives,2411
118,2008-09,hq,4103,Internet Archive Sheridan HeadquartersInternt Archive Physical Archive,2064
119,2008-09,museum,2515,"Natural History Museum Library, London",205
120,2008-09,public,619,Allen County Public Library Geneaology CenterBoston Public Library,5062
121,2008-10,academic,29013,"Columbia UniversityNational Library of ScotlandNorth Carolina State UniversityPrinceton UniversityUCLAUIUCUNC Chapel HillUniversity of Maryland, College ParkUniversity of Toronto",14819
122,2008-10,government,5233,Library of CongressSmithsonian Libraries and Archives,2002
123,2008-10,hq,2090,Internt Archive Physical Archive,2165
124,2008-10,museum,2516,"Natural History Museum Library, London",170
125,2008-10,public,621,Allen County Public Library Geneaology CenterBoston Public Library,2696
126,2008-11,academic,30435,"Columbia UniversityDuke UniversityNational Library of ScotlandNorth Carolina State UniversityPrinceton UniversityUCLAUIUCUNC Chapel HillUniversity of Maryland, College ParkUniversity of Toronto",10702
127,2008-11,government,5235,Library of CongressSmithsonian Libraries and Archives,1754
128,2008-11,hq,2091,Internt Archive Physical Archive,1850
129,2008-11,museum,2517,"Natural History Museum Library, London",145
130,2008-11,public,623,Allen County Public Library Geneaology CenterBoston Public Library,3058
131,2008-12,academic,33053,"Columbia UniversityNational Library of ScotlandNorth Carolina State UniversityPrinceton UniversityUCLAUIUCUNC Chapel HillUniversidad Francisco MarroquínUniversity of Maryland, College ParkUniversity of Toronto",10070
132,2008-12,government,5237,Library of CongressSmithsonian Libraries and Archives,2190
133,2008-12,hq,2092,Internt Archive Physical Archive,1065
134,2008-12,museum,2518,"Natural History Museum Library, London",99
135,2008-12,public,625,Allen County Public Library Geneaology CenterBoston Public Library,2077
136,2009-01,academic,34477,"Columbia UniversityDuke UniversityNational Library of ScotlandNorth Carolina State UniversityPrinceton UniversityUCLAUIUCUNC Chapel HillUniversidad Francisco MarroquínUniversity of Maryland, College ParkUniversity of Toronto",10545
137,2009-01,government,5239,Library of CongressSmithsonian Libraries and Archives,1880
138,2009-01,hq,2093,Internt Archive Physical Archive,810
139,2009-01,museum,2519,"Natural History Museum Library, London",68
140,2009-01,public,627,Allen County Public Library Geneaology CenterBoston Public Library,3498
141,2009-02,academic,28714,Columbia UniversityNational Library of ScotlandNorth Carolina State UniversityPrinceton UniversityUCLAUIUCUNC Chapel HillUniversidad Francisco MarroquínUniversity of Toronto,9692
142,2009-02,government,5241,Library of CongressSmithsonian Libraries and Archives,2431
143,2009-02,hq,2094,Internt Archive Physical Archive,887
144,2009-02,museum,2520,"Natural History Museum Library, London",131
145,2009-02,public,629,Allen County Public Library Geneaology CenterBoston Public Library,2695
146,2009-03,academic,28723,Columbia UniversityNational Library of ScotlandNorth Carolina State UniversityPrinceton UniversityUCLAUIUCUNC Chapel HillUniversidad Francisco MarroquínUniversity of Toronto,11360
147,2009-03,government,5243,Library of CongressSmithsonian Libraries and Archives,3062
148,2009-03,hq,2095,Internt Archive Physical Archive,1053
149,2009-03,museum,2521,"Natural History Museum Library, London",173
150,2009-03,public,631,Allen County Public Library Geneaology CenterBoston Public Library,3876
151,2009-04,academic,28732,Columbia UniversityNational Library of ScotlandNorth Carolina State UniversityPrinceton UniversityUCLAUIUCUNC Chapel HillUniversidad Francisco MarroquínUniversity of Toronto,11030
152,2009-04,government,5245,Library of CongressSmithsonian Libraries and Archives,3137
153,2009-04,hq,2096,Internt Archive Physical Archive,763
154,2009-04,museum,2522,"Natural History Museum Library, London",170
155,2009-04,public,633,Allen County Public Library Geneaology CenterBoston Public Library,4092
156,2009-05,academic,28741,Columbia UniversityNational Library of ScotlandNorth Carolina State UniversityPrinceton UniversityUCLAUIUCUNC Chapel HillUniversidad Francisco MarroquínUniversity of Toronto,9667
157,2009-05,government,5247,Library of CongressSmithsonian Libraries and Archives,3422
