,name,std_pages_to_workers_ratio,min,max
0,Allen County Public Library Geneaology Center,1011.4884922320853,8.0,10466.0
1,American Museum of Natural History,332.192269181123,6.0,1620.0
2,American Numismatic Society,555.0982664088895,4.0,3090.0
3,American Printing House for the Blind,505.387677034391,4.0,7756.0
4,Analysis and Policy Observatory (APO),148.0403848804628,42.0,512.0
5,"BYU, Hawaii",643.683397404032,32.0,4286.0
6,"BYU, Idaho Family History Library",727.0382076400535,18.0,4238.0
7,"BYU, Provo",476.733207282994,2.0,7336.0
8,Boston Public Library,1241.3960766340933,6.0,8792.0
9,British Library,1477.7280407144658,8.0,22036.0
10,Brown University,742.2475224608116,4.0,6036.0
11,California Acaddemy of Sciences,630.9838314792506,6.0,2606.0
12,California State Library,1762.6801239963213,22.0,11786.0
13,"Centre for Strategic and International Studies, Jakarta",632.8791569663235,8.0,2522.0
14,Church History Library,549.7804667704011,4.0,4912.5
15,Clatsop County Historical Society,320.74972383068524,2.0,3274.0
16,Clemson University,1068.0626105046947,26.0,6764.0
17,Columbia University,1104.5489542123892,25.0,10047.5
18,Datum Data Co. Ltd.,7530.673124372322,32.0,101942.0
19,Duke University,1126.916696662647,1.0,10902.0
20,Family Search Library,821.6460302422702,58.0,4080.0
21,Georgetown University,380.30950727369486,34.0,2086.0
22,Getty Research Institute,3285.5854746501245,10.0,10588.0
23,Getty Research Institute Valencia Warehouse,817.5515759857892,0.0,5947.0
24,Hamilton Public Library,567.2816902818495,360.0,2570.0
25,Harvard,373.4224679463141,11.0,3170.0
26,Hong Kong,2509.246787292133,30.0,18468.0
27,Hopewell Junction,267.063322419643,38.0,925.0
28,"Innodata Knowledge Services, Inc.",2501.538205063409,42.0,14512.435714285713
29,Internet Archive Headquarters,895.5887530697029,2.0,3892.8333333333335
30,Internet Archive Sheridan Headquarters,1094.7419777491125,0.0,3594.0
31,Internt Archive Physical Archive,887.9572553858706,48.0,5266.0
32,John Hopkins University Library Offsite Storage,1941.2928140281947,6.0,8216.0
33,Library of Congress,1739.2474118301034,28.0,14638.0
34,National Agricultural Library,1449.7017478812413,4.0,14680.0
35,National Library of Scotland,1468.7660209524572,50.0,16576.0
36,"Natural History Museum Library, London",523.354316658781,10.0,3214.0
37,New York Botanical Garden,209.48428739804487,22.0,640.0
38,North Carolina State University,782.8523952020211,126.0,4714.0
39,Oberlin College Libraries,322.5080162006369,4.0,2720.0
40,Peabody Essex Museum,12.29634091915152,22.0,52.0
41,Perkins School for the Blind,810.1634436449964,45.0,3162.0
42,Princeton University,1781.5542425724648,4.0,12504.0
43,Research Institute of Korean Studies,138.69390758068647,14.0,260.0
44,San Francisco Public Library,1557.6248221741484,20.0,10906.0
45,Servants of knowledge,983.187913516605,72.0,6028.0
46,Smithsonian Libraries and Archives,1264.8274160821186,8.0,7392.0
47,Stanford University,400.96900102744377,14.0,1594.0
48,State Library of Pennsylvania,2773.4339958934816,4.0,48562.0
49,Staten Island Museum,391.52470596138795,26.0,1354.0
50,The Archive of Contemporary Music,656.5057275993627,42.0,3740.0
51,The Ohio State University,316.45199916756786,8.0,1524.0
52,The Servants of Knowledge,2270.635442165522,32.0,21611.0
53,UCLA,1957.6248999888294,10.0,60230.0
54,UIUC,1408.9404556185868,8.0,14183.0
55,UNC Chapel Hill,1583.2187637312843,3.0,9936.0
56,Universidad Francisco Marroquín,319.9346050775066,4.0,2218.0
57,University of Alberta,1617.9529291498618,7.0,8523.5
58,University of Chinese Academy of Sciences,1748.0608397770038,82.0,10376.0
59,University of Florida,1075.1607362182936,4.0,5256.0
60,"University of Maryland, College Park",834.0944190176157,22.0,3364.0
61,University of Pretoria,674.4682577896164,10.0,3948.0
62,University of Toronto,1308.5492319131547,3.0,8866.0
63,University of Victoria,873.1140173920963,20.0,8072.0
64,University of Warwick,177.4965715469603,22.0,1056.0
65,Washington University in St. Louis,1232.8967591769397,6.0,20314.0
66,Yiddish Book Center,353.6742209327308,30.0,2204.0
67,Zhejiang University,,10.0,10.0
