,name,scan_day,operator
0,Allen County Public Library Geneaology Center,2002-01-09,2
1,Allen County Public Library Geneaology Center,2002-01-10,1
2,Allen County Public Library Geneaology Center,2002-01-15,1
3,Allen County Public Library Geneaology Center,2008-05-15,1
4,Allen County Public Library Geneaology Center,2008-05-16,2
5,Allen County Public Library Geneaology Center,2008-05-19,2
6,Allen County Public Library Geneaology Center,2008-05-20,6
7,Allen County Public Library Geneaology Center,2008-05-21,3
8,Allen County Public Library Geneaology Center,2008-05-22,5
9,Allen County Public Library Geneaology Center,2008-05-23,6
10,Allen County Public Library Geneaology Center,2008-05-27,7
11,Allen County Public Library Geneaology Center,2008-05-28,4
12,Allen County Public Library Geneaology Center,2008-05-29,8
13,Allen County Public Library Geneaology Center,2008-05-30,4
14,Allen County Public Library Geneaology Center,2008-06-02,8
15,Allen County Public Library Geneaology Center,2008-06-03,10
16,Allen County Public Library Geneaology Center,2008-06-04,10
17,Allen County Public Library Geneaology Center,2008-06-05,10
18,Allen County Public Library Geneaology Center,2008-06-06,10
19,Allen County Public Library Geneaology Center,2008-06-09,8
20,Allen County Public Library Geneaology Center,2008-06-10,9
21,Allen County Public Library Geneaology Center,2008-06-11,8
22,Allen County Public Library Geneaology Center,2008-06-12,9
23,Allen County Public Library Geneaology Center,2008-06-13,9
24,Allen County Public Library Geneaology Center,2008-06-16,10
25,Allen County Public Library Geneaology Center,2008-06-17,10
26,Allen County Public Library Geneaology Center,2008-06-18,11
27,Allen County Public Library Geneaology Center,2008-06-19,11
28,Allen County Public Library Geneaology Center,2008-06-20,10
29,Allen County Public Library Geneaology Center,2008-06-23,8
30,Allen County Public Library Geneaology Center,2008-06-24,12
31,Allen County Public Library Geneaology Center,2008-06-25,11
32,Allen County Public Library Geneaology Center,2008-06-26,10
33,Allen County Public Library Geneaology Center,2008-06-27,8
34,Allen County Public Library Geneaology Center,2008-06-30,10
35,Allen County Public Library Geneaology Center,2008-07-01,11
36,Allen County Public Library Geneaology Center,2008-07-02,9
37,Allen County Public Library Geneaology Center,2008-07-03,10
38,Allen County Public Library Geneaology Center,2008-07-07,10
39,Allen County Public Library Geneaology Center,2008-07-08,9
40,Allen County Public Library Geneaology Center,2008-07-09,10
41,Allen County Public Library Geneaology Center,2008-07-10,9
42,Allen County Public Library Geneaology Center,2008-07-11,7
43,Allen County Public Library Geneaology Center,2008-07-14,10
44,Allen County Public Library Geneaology Center,2008-07-15,11
